sample	chrX_mean_log2	sex
BNC10M	0.0907	male
BNC11F	0.9452	female
BNC12M	0.0872	male
BNC13M	0.0983	male
BNC14M	0.1092	male
BNC15M	0.0898	male
BNC16M	0.0842	male
BNC17M	0.076	male
BNC18M	0.0938	male
BNC19M	0.1028	male
BNC1F	0.9519	female
BNC20M	0.1322	male
BNC21M	0.0654	male
BNC22M	0.1141	male
BNC23M	0.0967	male
BNC24F	0.9851	female
BNC25F	0.9835	female
BNC2F	0.929	female
BNC3F	0.9499	female
BNC4F	0.9397	female
BNC5F	0.9582	female
BNC6F	0.9374	female
BNC7F	0.9456	female
BNC8F	0.9543	female
BNC9F	0.965	female
