gene	source	role
ERG	hmf	ONCO
RUNX1	hmf	TSG
U2AF1	hmf	ONCO
BTG1	template_TSG	TSG
CDKN1B	hmf	TSG
ETNK1	hmf	TSG
ETV6	template_TSG	TSG
KRAS	hmf	ONCO
NFE2	template_TSG	TSG
PRPF40B	template_TSG	TSG
PTPN11	hmf	ONCO
SETD1B	template_TSG	TSG
SH2B3	hmf	TSG
MN1	template_ONCO	ONCO
SF3A1	template_TSG	TSG
FLT3	hmf	ONCO
LIG4	template_TSG	TSG
AKT1	hmf	ONCO
BCL11B	template_TSG	TSG
MAP2K1	hmf	ONCO
RAD51	hmf	TSG
ALAS2	template_TSG	TSG
BCOR	hmf	TSG
BCORL1	template_TSG	TSG
BTK	hmf	TSG
DDX3X	hmf	TSG
GATA1	hmf	TSG
KDM6A	hmf	TSG
PHF6	hmf	TSG
PIGA	template_TSG	TSG
SMC1A	template_TSG	TSG
STAG2	hmf	TSG
UBA1	template_ONCO	ONCO
ZRSR2	hmf	TSG
ARID1A	hmf	TSG
BRINP3	template_TSG	TSG
CSF3R	hmf	ONCO
EGLN1	template_TSG	TSG
GFI1	template_TSG	TSG
GNB1	template_ONCO	ONCO
MPL	hmf	ONCO
NRAS	hmf	ONCO
RIT1	template_ONCO	ONCO
UBE2T	template_TSG	TSG
CTCF	hmf	TSG
PARN	template_TSG	TSG
PLCG2	template_TSG	TSG
ASXL2	hmf	TSG
DNMT3A	hmf	TSG
EPAS1	hmf	ONCO
MYCN	hmf	ONCO
SF3B1	hmf	ONCO
KDM6B	template_TSG	TSG
NF1	hmf	TSG
PPM1D	hmf	ONCO
PRPF8	template_TSG	TSG
RAD51C	hmf	TSG
SRSF2	hmf	ONCO
STAT3	hmf	ONCO
STAT5B	hmf	TSG
SUZ12	hmf	TSG
TP53	hmf	TSG
UBTF	template_ONCO	ONCO
CBLB	hmf	TSG
CTNNB1	hmf	ONCO
GATA2	hmf	ONCO
GATA2_intron4	template_TSG	TSG
MYD88	hmf	ONCO
SETD2	hmf	TSG
TERC	template_TSG	TSG
BCL2	hmf	ONCO
SETBP1	hmf	ONCO
DHX15	template_TSG	TSG
KIT	hmf	ONCO
NAF1	template_TSG	TSG
TET2	hmf	TSG
CALR	hmf	ONCO
CEBPA	hmf	TSG
DNMT1	template_TSG	TSG
ELANE	template_ONCO	ONCO
EPOR	hmf	TSG
NOTCH3	hmf	ONCO
RRAS	template_TSG	TSG
U2AF2	template_TSG	TSG
ZBTB7A	template_TSG	TSG
ZNF91	template_TSG	TSG
CSF1R	hmf	ONCO
CSNK1A1	template_TSG	TSG
DDX41	template_TSG	TSG
IL7R	hmf	ONCO
IRF1	template_TSG	TSG
NPM1	hmf	ONCO
CCNC	template_TSG	TSG
CCND3	hmf	ONCO
MYB	hmf	ONCO
BPGM	template_TSG	TSG
CUX1	hmf	TSG
EZH2	hmf	ONCO
IKZF1	hmf	TSG
LUC7L2	template_TSG	TSG
SAMD9	template_ONCO	ONCO
SAMD9L	template_ONCO	ONCO
XRCC2	hmf	TSG
CSMD1	hmf	TSG
MYC	hmf	ONCO
RAD21	hmf	ONCO
ZFHX4	template_TSG	TSG
ANKRD26	template_TSG	TSG
PTEN	hmf	TSG
SMC3	hmf	ONCO
CDKN2A	hmf	TSG
CDKN2B	hmf	TSG
HNRNPK	template_TSG	TSG
JAK2	hmf	ONCO
NOTCH1	hmf	TSG
PAX5	hmf	ONCO
ASXL1	hmf	TSG
GNAS	hmf	ONCO
ATM	hmf	TSG
BIRC3	hmf	TSG
CBL	hmf	ONCO
EED	hmf	TSG
HRAS	hmf	ONCO
KMT2A	hmf	ONCO
RRAS2	template_TSG	TSG
SF1	template_TSG	TSG
WT1	hmf	TSG
