gene	reportMissense	reportNonsense	reportSplice	reportDeletion	reportHetDeletion	hetDeletionThreshold	reportLoh	reportDisruption	reportAmplification	amplificationRatio	reportSomaticHotspot	likelihoodType	reportGermlineVariant	reportGermlineHotspot	reportGermlineDisruption	reportGermlineDeletion	reportGermlineAmplification	additionalReportedTranscripts	reportPGX	reportHighExpression	reportNovelSpliceJunction
ERG	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
RUNX1	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
U2AF1	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
BTG1	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
CDKN1B	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
ETNK1	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
ETV6	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
KRAS	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	VARIANT_NOT_LOST	VARIANT_NOT_LOST	NONE	NONE	FALSE		FALSE	TRUE	FALSE
NFE2	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
PRPF40B	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
PTPN11	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
SETD1B	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
SH2B3	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
MN1	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE			FALSE		FALSE	TRUE	TRUE
SF3A1	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
FLT3	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	TRUE
LIG4	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
AKT1	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	TRUE
BCL11B	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
MAP2K1	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
RAD51	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
ALAS2	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
BCOR	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
BCORL1	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
BTK	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
DDX3X	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
GATA1	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
KDM6A	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
PHF6	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
PIGA	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
SMC1A	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
STAG2	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
UBA1	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE			FALSE		FALSE	TRUE	TRUE
ZRSR2	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
ARID1A	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
BRINP3	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
CSF3R	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
EGLN1	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
GFI1	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
GNB1	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE			FALSE		FALSE	TRUE	TRUE
MPL	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
NRAS	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
RIT1	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE			FALSE		FALSE	TRUE	TRUE
UBE2T	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
CTCF	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
PARN	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
PLCG2	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
ASXL2	FALSE	FALSE	FALSE	TRUE	FALSE	0.6	FALSE	FALSE	FALSE	3	FALSE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
DNMT3A	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
EPAS1	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
MYCN	FALSE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	FALSE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
SF3B1	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
KDM6B	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
NF1	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	ANY	ANY	ANY	ANY	TRUE		FALSE	FALSE	FALSE
PPM1D	TRUE	TRUE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
PRPF8	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
RAD51C	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	TRUE	TRUE	FALSE	3	TRUE	TSG	ANY	ANY	ANY	ANY	TRUE		FALSE	FALSE	FALSE
SRSF2	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
