Sample	Exon	Type	Gene	Info
Female16.final	All	Whole sample	All	Low correlation: 0.972741092626182
All	725	Whole exon	HRAS	Low median read depth (FPKM): 0
All	726	Whole exon	HRAS	Low median read depth (FPKM): 0
All	727	Whole exon	HRAS	Low median read depth (FPKM): 0
All	728	Whole exon	HRAS	Low median read depth (FPKM): 0
All	729	Whole exon	HRAS	Low median read depth (FPKM): 0
All	730	Whole exon	HRAS	Low median read depth (FPKM): 0
All	1058	Whole exon	PARN	Low median read depth (FPKM): 0
All	1059	Whole exon	PARN	Low median read depth (FPKM): 0
All	1060	Whole exon	PARN	Low median read depth (FPKM): 0
All	1061	Whole exon	PARN	Low median read depth (FPKM): 0
All	1062	Whole exon	PARN	Low median read depth (FPKM): 0
All	1063	Whole exon	PARN	Low median read depth (FPKM): 0
All	1064	Whole exon	PARN	Low median read depth (FPKM): 0
All	1065	Whole exon	PARN	Low median read depth (FPKM): 0
All	1066	Whole exon	PARN	Low median read depth (FPKM): 0
All	1067	Whole exon	PARN	Low median read depth (FPKM): 0
All	1068	Whole exon	PARN	Low median read depth (FPKM): 0
All	1069	Whole exon	PARN	Low median read depth (FPKM): 0
All	1070	Whole exon	PARN	Low median read depth (FPKM): 0
All	1071	Whole exon	PARN	Low median read depth (FPKM): 0
All	1072	Whole exon	PARN	Low median read depth (FPKM): 0
All	1073	Whole exon	PARN	Low median read depth (FPKM): 0
All	1074	Whole exon	PARN	Low median read depth (FPKM): 0
All	1075	Whole exon	PARN	Low median read depth (FPKM): 0
All	1076	Whole exon	PARN	Low median read depth (FPKM): 0
All	1077	Whole exon	PARN	Low median read depth (FPKM): 0
All	1078	Whole exon	PARN	Low median read depth (FPKM): 0
All	1079	Whole exon	PARN	Low median read depth (FPKM): 0
All	1080	Whole exon	PARN	Low median read depth (FPKM): 0
All	1081	Whole exon	PARN	Low median read depth (FPKM): 0
All	1127	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1128	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1129	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1130	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1131	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1132	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1133	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1134	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1135	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1136	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1137	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1138	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1139	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1140	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1141	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1142	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1143	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1144	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1145	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1146	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1147	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1148	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1149	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1150	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1151	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1152	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1153	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1154	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1155	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1156	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1157	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1158	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1159	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1160	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1161	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1162	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1163	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1164	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1165	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1166	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1167	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1168	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1169	Whole exon	PRPF8	Low median read depth (FPKM): 0
All	1370	Whole exon	ELANE	Low median read depth (FPKM): 22
All	1371	Whole exon	ELANE	Low median read depth (FPKM): 37
All	1372	Whole exon	ELANE	Low median read depth (FPKM): 16
All	1373	Whole exon	ELANE	Low median read depth (FPKM): 0
All	1374	Whole exon	ELANE	Low median read depth (FPKM): 0
