level	replicate	verdict	confidence	f_estimate	median_dev	noise_floor	n_het	scope	ctrl_median_dev	other_arms_changed
0.0	0	NEUTRAL	NA	0.022	0.0111	0.0716	139	arm	0.0286	-
0.0	1	NEUTRAL	NA	0.022	0.0112	0.0716	139	arm	0.0286	-
0.0	2	NEUTRAL	NA	0.017	0.0086	0.0716	139	arm	0.0286	-
0.0	3	NEUTRAL	NA	0.021	0.0105	0.0716	139	arm	0.0286	-
0.0	4	NEUTRAL	NA	0.017	0.0087	0.0716	139	arm	0.0286	-
0.0	5	NEUTRAL	NA	0.020	0.0098	0.0716	139	arm	0.0286	-
0.0	6	NEUTRAL	NA	0.023	0.0114	0.0716	139	arm	0.0286	-
0.0	7	NEUTRAL	NA	0.016	0.0079	0.0716	139	arm	0.0286	-
0.0	8	NEUTRAL	NA	0.020	0.0102	0.0716	139	arm	0.0286	-
0.0	9	NEUTRAL	NA	0.018	0.0089	0.0716	139	arm	0.0286	-
0.0	10	NEUTRAL	NA	0.019	0.0097	0.0716	139	arm	0.0286	-
0.0	11	NEUTRAL	NA	0.019	0.0094	0.0716	139	arm	0.0286	-
0.0	12	NEUTRAL	NA	0.018	0.0089	0.0716	139	arm	0.0286	-
0.0	13	NEUTRAL	NA	0.018	0.0090	0.0716	139	arm	0.0286	-
0.0	14	NEUTRAL	NA	0.024	0.0121	0.0716	139	arm	0.0286	-
0.0	15	NEUTRAL	NA	0.020	0.0099	0.0716	139	arm	0.0286	-
0.0	16	NEUTRAL	NA	0.020	0.0100	0.0716	139	arm	0.0286	-
0.0	17	NEUTRAL	NA	0.020	0.0102	0.0716	139	arm	0.0286	-
0.0	18	NEUTRAL	NA	0.016	0.0078	0.0716	139	arm	0.0286	-
0.0	19	NEUTRAL	NA	0.020	0.0101	0.0716	139	arm	0.0286	-
0.02	0	NEUTRAL	NA	0.021	0.0106	0.0716	139	arm	0.0286	-
0.02	1	NEUTRAL	NA	0.024	0.0118	0.0716	139	arm	0.0286	-
0.02	2	NEUTRAL	NA	0.025	0.0123	0.0716	139	arm	0.0286	-
0.02	3	NEUTRAL	NA	0.024	0.0119	0.0716	139	arm	0.0286	-
0.02	4	NEUTRAL	NA	0.030	0.0148	0.0716	139	arm	0.0286	-
0.02	5	NEUTRAL	NA	0.023	0.0113	0.0716	139	arm	0.0286	-
0.02	6	NEUTRAL	NA	0.026	0.0132	0.0716	139	arm	0.0286	-
0.02	7	NEUTRAL	NA	0.023	0.0116	0.0716	139	arm	0.0286	-
0.02	8	NEUTRAL	NA	0.021	0.0104	0.0716	139	arm	0.0286	-
0.02	9	NEUTRAL	NA	0.024	0.0120	0.0716	139	arm	0.0286	-
0.02	10	NEUTRAL	NA	0.024	0.0122	0.0716	139	arm	0.0286	-
0.02	11	NEUTRAL	NA	0.024	0.0118	0.0716	139	arm	0.0286	-
0.02	12	NEUTRAL	NA	0.021	0.0103	0.0716	139	arm	0.0286	-
0.02	13	NEUTRAL	NA	0.024	0.0120	0.0716	139	arm	0.0286	-
0.02	14	NEUTRAL	NA	0.022	0.0112	0.0716	139	arm	0.0286	-
0.02	15	NEUTRAL	NA	0.027	0.0133	0.0716	139	arm	0.0286	-
0.02	16	NEUTRAL	NA	0.027	0.0137	0.0716	139	arm	0.0286	-
0.02	17	NEUTRAL	NA	0.021	0.0107	0.0716	139	arm	0.0286	-
