level	replicate	verdict	confidence	f_estimate	median_dev	noise_floor	n_het	scope	ctrl_median_dev	other_arms_changed
0.0	0	NEUTRAL	NA	0.071	0.0354	0.0500	139	arm	0.0286	-
0.0	1	NEUTRAL	NA	0.073	0.0364	0.0500	139	arm	0.0286	-
0.0	2	NEUTRAL	NA	0.074	0.0369	0.0500	139	arm	0.0286	-
0.0	3	NEUTRAL	NA	0.067	0.0335	0.0500	139	arm	0.0286	-
0.0	4	NEUTRAL	NA	0.068	0.0339	0.0500	139	arm	0.0286	-
0.0	5	NEUTRAL	NA	0.067	0.0335	0.0500	139	arm	0.0286	-
0.0	6	NEUTRAL	NA	0.072	0.0359	0.0500	139	arm	0.0286	-
0.0	7	NEUTRAL	NA	0.073	0.0364	0.0500	139	arm	0.0286	-
0.0	8	NEUTRAL	NA	0.072	0.0360	0.0500	139	arm	0.0286	-
0.0	9	NEUTRAL	NA	0.069	0.0345	0.0500	139	arm	0.0286	-
0.0	10	NEUTRAL	NA	0.078	0.0389	0.0500	139	arm	0.0286	-
0.0	11	NEUTRAL	NA	0.075	0.0373	0.0500	139	arm	0.0286	-
0.0	12	NEUTRAL	NA	0.074	0.0370	0.0500	139	arm	0.0286	-
0.0	13	NEUTRAL	NA	0.070	0.0350	0.0500	139	arm	0.0286	-
0.0	14	NEUTRAL	NA	0.067	0.0336	0.0500	139	arm	0.0286	-
0.0	15	NEUTRAL	NA	0.067	0.0335	0.0500	139	arm	0.0286	-
0.0	16	NEUTRAL	NA	0.072	0.0360	0.0500	139	arm	0.0286	-
0.0	17	NEUTRAL	NA	0.061	0.0304	0.0500	139	arm	0.0286	-
0.0	18	NEUTRAL	NA	0.064	0.0322	0.0500	139	arm	0.0286	-
0.0	19	NEUTRAL	NA	0.077	0.0385	0.0500	139	arm	0.0286	-
0.05	0	NEUTRAL	NA	0.077	0.0384	0.0500	137	arm	0.0286	-
0.05	1	NEUTRAL	NA	0.086	0.0428	0.0500	138	arm	0.0286	-
0.05	2	NEUTRAL	NA	0.079	0.0396	0.0500	139	arm	0.0286	-
0.05	3	NEUTRAL	NA	0.073	0.0363	0.0500	138	arm	0.0286	-
0.05	4	NEUTRAL	NA	0.071	0.0357	0.0500	139	arm	0.0286	-
0.05	5	NEUTRAL	NA	0.069	0.0343	0.0500	139	arm	0.0286	-
0.05	6	NEUTRAL	NA	0.093	0.0464	0.0500	139	arm	0.0286	-
0.05	7	NEUTRAL	NA	0.079	0.0396	0.0500	138	arm	0.0286	-
0.05	8	NEUTRAL	NA	0.080	0.0401	0.0500	137	arm	0.0286	-
0.05	9	NEUTRAL	NA	0.091	0.0453	0.0500	138	arm	0.0286	-
0.05	10	NEUTRAL	NA	0.088	0.0441	0.0500	139	arm	0.0286	-
0.05	11	NEUTRAL	NA	0.074	0.0371	0.0500	137	arm	0.0286	-
0.05	12	NEUTRAL	NA	0.073	0.0367	0.0500	139	arm	0.0286	-
0.05	13	NEUTRAL	NA	0.068	0.0342	0.0500	138	arm	0.0286	-
0.05	14	NEUTRAL	NA	0.082	0.0411	0.0500	139	arm	0.0286	-
0.05	15	NEUTRAL	NA	0.083	0.0416	0.0500	138	arm	0.0286	-
0.05	16	NEUTRAL	NA	0.077	0.0386	0.0500	138	arm	0.0286	-
0.05	17	NEUTRAL	NA	0.076	0.0378	0.0500	137	arm	0.0286	-
0.05	18	NEUTRAL	NA	0.077	0.0383	0.0500	138	arm	0.0286	-
0.05	19	NEUTRAL	NA	0.069	0.0345	0.0500	138	arm	0.0286	-
0.08	0	NEUTRAL	NA	0.097	0.0486	0.0500	138	arm	0.0286	-
0.08	1	CNLOH	LOW	0.107	0.0534	0.0500	138	arm	0.0286	-
0.08	2	NEUTRAL	NA	0.087	0.0434	0.0500	139	arm	0.0286	-
0.08	3	NEUTRAL	NA	0.088	0.0440	0.0500	139	arm	0.0286	-
0.08	4	NEUTRAL	NA	0.090	0.0450	0.0500	137	arm	0.0286	-
0.08	5	NEUTRAL	NA	0.094	0.0470	0.0500	137	arm	0.0286	-
0.08	6	CNLOH	LOW	0.107	0.0536	0.0500	139	arm	0.0286	-
0.08	7	NEUTRAL	NA	0.095	0.0475	0.0500	138	arm	0.0286	-
0.08	8	CNLOH	LOW	0.113	0.0563	0.0500	139	arm	0.0286	-
0.08	9	CNLOH	LOW	0.112	0.0562	0.0500	137	arm	0.0286	-
0.08	10	NEUTRAL	NA	0.094	0.0471	0.0500	137	arm	0.0286	-
0.08	11	CNLOH	LOW	0.105	0.0523	0.0500	138	arm	0.0286	-
0.08	12	CNLOH	LOW	0.104	0.0518	0.0500	138	arm	0.0286	-
0.08	13	CNLOH	LOW	0.111	0.0556	0.0500	136	arm	0.0286	-
0.08	14	CNLOH	LOW	0.107	0.0537	0.0500	138	arm	0.0286	-
0.08	15	CNLOH	LOW	0.113	0.0566	0.0500	138	arm	0.0286	-
0.08	16	NEUTRAL	NA	0.098	0.0489	0.0500	138	arm	0.0286	-
0.08	17	CNLOH	LOW	0.108	0.0538	0.0500	138	arm	0.0286	-
0.08	18	NEUTRAL	NA	0.098	0.0488	0.0500	136	arm	0.0286	-
0.08	19	CNLOH	LOW	0.101	0.0505	0.0500	139	arm	0.0286	-
0.1	0	CNLOH	LOW	0.135	0.0677	0.0500	139	arm	0.0286	-
0.1	1	CNLOH	LOW	0.113	0.0567	0.0500	139	arm	0.0286	-
