sample,fastq_1,fastq_2,sex,exclude
BNC10M,/goast/hemat_data/BNC_fastqs/BNC10M-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC10M-MYCNV_R2.fastq.gz,male,false
BNC11F,/goast/hemat_data/BNC_fastqs/BNC11F-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC11F-MYCNV_R2.fastq.gz,female,false
BNC12M,/goast/hemat_data/BNC_fastqs/BNC12M-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC12M-MYCNV_R2.fastq.gz,male,false
BNC13M,/goast/hemat_data/BNC_fastqs/BNC13M-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC13M-MYCNV_R2.fastq.gz,male,false
BNC14M,/goast/hemat_data/BNC_fastqs/BNC14M-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC14M-MYCNV_R2.fastq.gz,male,false
BNC15M,/goast/hemat_data/BNC_fastqs/BNC15M-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC15M-MYCNV_R2.fastq.gz,male,false
BNC16M,/goast/hemat_data/BNC_fastqs/BNC16M-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC16M-MYCNV_R2.fastq.gz,male,false
BNC17M,/goast/hemat_data/BNC_fastqs/BNC17M-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC17M-MYCNV_R2.fastq.gz,male,false
BNC18M,/goast/hemat_data/BNC_fastqs/BNC18M-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC18M-MYCNV_R2.fastq.gz,male,false
BNC19M,/goast/hemat_data/BNC_fastqs/BNC19M-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC19M-MYCNV_R2.fastq.gz,male,false
BNC1F,/goast/hemat_data/BNC_fastqs/BNC1F-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC1F-MYCNV_R2.fastq.gz,female,false
BNC20M,/goast/hemat_data/BNC_fastqs/BNC20M-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC20M-MYCNV_R2.fastq.gz,male,false
BNC21M,/goast/hemat_data/BNC_fastqs/BNC21M-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC21M-MYCNV_R2.fastq.gz,male,false
BNC22M,/goast/hemat_data/BNC_fastqs/BNC22M-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC22M-MYCNV_R2.fastq.gz,male,false
BNC23M,/goast/hemat_data/BNC_fastqs/BNC23M-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC23M-MYCNV_R2.fastq.gz,male,false
BNC24F,/goast/hemat_data/BNC_fastqs/BNC24F-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC24F-MYCNV_R2.fastq.gz,female,false
BNC25F,/goast/hemat_data/BNC_fastqs/BNC25F-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC25F-MYCNV_R2.fastq.gz,female,false
BNC2F,/goast/hemat_data/BNC_fastqs/BNC2F-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC2F-MYCNV_R2.fastq.gz,female,false
BNC3F,/goast/hemat_data/BNC_fastqs/BNC3F-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC3F-MYCNV_R2.fastq.gz,female,false
BNC4F,/goast/hemat_data/BNC_fastqs/BNC4F-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC4F-MYCNV_R2.fastq.gz,female,false
BNC5F,/goast/hemat_data/BNC_fastqs/BNC5F-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC5F-MYCNV_R2.fastq.gz,female,false
BNC6F,/goast/hemat_data/BNC_fastqs/BNC6F-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC6F-MYCNV_R2.fastq.gz,female,false
BNC7F,/goast/hemat_data/BNC_fastqs/BNC7F-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC7F-MYCNV_R2.fastq.gz,female,false
BNC8F,/goast/hemat_data/BNC_fastqs/BNC8F-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC8F-MYCNV_R2.fastq.gz,female,false
BNC9F,/goast/hemat_data/BNC_fastqs/BNC9F-MYCNV_R1.fastq.gz,/goast/hemat_data/BNC_fastqs/BNC9F-MYCNV_R2.fastq.gz,female,false
