sample,fastq_1,fastq_2,sex
Female1-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female1-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female1-TwistMyRun2_R2.fastq.gz,male
Female2-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female2-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female2-TwistMyRun2_R2.fastq.gz,male
Female3-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female3-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female3-TwistMyRun2_R2.fastq.gz,male
Female4-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female4-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female4-TwistMyRun2_R2.fastq.gz,male
Female5-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female5-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female5-TwistMyRun2_R2.fastq.gz,male
Female6-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female6-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female6-TwistMyRun2_R2.fastq.gz,male
Female7-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female7-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female7-TwistMyRun2_R2.fastq.gz,male
Female8-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female8-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female8-TwistMyRun2_R2.fastq.gz,male
Female9-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female9-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female9-TwistMyRun2_R2.fastq.gz,male
Female10-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female10-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female10-TwistMyRun2_R2.fastq.gz,male
Female11-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female11-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female11-TwistMyRun2_R2.fastq.gz,male
Female12-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female12-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female12-TwistMyRun2_R2.fastq.gz,male
Female13-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female13-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female13-TwistMyRun2_R2.fastq.gz,male
Female14-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female14-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female14-TwistMyRun2_R2.fastq.gz,male
Female15-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female15-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female15-TwistMyRun2_R2.fastq.gz,male
Female16-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female16-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female16-TwistMyRun2_R2.fastq.gz,male
Female17-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female17-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female17-TwistMyRun2_R2.fastq.gz,male
Female18-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female18-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female18-TwistMyRun2_R2.fastq.gz,male
Female19-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female19-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female19-TwistMyRun2_R2.fastq.gz,male
Female20-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female20-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female20-TwistMyRun2_R2.fastq.gz,male
Female21-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female21-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female21-TwistMyRun2_R2.fastq.gz,male
Female22-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female22-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female22-TwistMyRun2_R2.fastq.gz,male
Female23-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female23-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female23-TwistMyRun2_R2.fastq.gz,male
Female24-TwistMyRun2,/goast/hemat_data/pon_twist/fastq_female_run2/Female24-TwistMyRun2_R1.fastq.gz,/goast/hemat_data/pon_twist/fastq_female_run2/Female24-TwistMyRun2_R2.fastq.gz,male
