sample,fastq_1,fastq_2,sex
Male1-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male1-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male1-TwistMy_R2.fastq.gz,male
Male10-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male10-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male10-TwistMy_R2.fastq.gz,male
Male11-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male11-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male11-TwistMy_R2.fastq.gz,male
Male12-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male12-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male12-TwistMy_R2.fastq.gz,male
Male13-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male13-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male13-TwistMy_R2.fastq.gz,male
Male14-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male14-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male14-TwistMy_R2.fastq.gz,male
Male15-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male15-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male15-TwistMy_R2.fastq.gz,male
Male16-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male16-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male16-TwistMy_R2.fastq.gz,male
Male17-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male17-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male17-TwistMy_R2.fastq.gz,male
Male18-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male18-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male18-TwistMy_R2.fastq.gz,male
Male19-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male19-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male19-TwistMy_R2.fastq.gz,male
Male2-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male2-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male2-TwistMy_R2.fastq.gz,male
Male20-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male20-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male20-TwistMy_R2.fastq.gz,male
Male21-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male21-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male21-TwistMy_R2.fastq.gz,male
Male22-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male22-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male22-TwistMy_R2.fastq.gz,male
Male23-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male23-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male23-TwistMy_R2.fastq.gz,male
Male24-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male24-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male24-TwistMy_R2.fastq.gz,male
Male3-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male3-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male3-TwistMy_R2.fastq.gz,male
Male4-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male4-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male4-TwistMy_R2.fastq.gz,male
Male5-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male5-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male5-TwistMy_R2.fastq.gz,male
Male6-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male6-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male6-TwistMy_R2.fastq.gz,male
Male7-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male7-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male7-TwistMy_R2.fastq.gz,male
Male8-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male8-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male8-TwistMy_R2.fastq.gz,male
Male9-TwistMy,/goast/hemat_data/nf-core-tspipe/normals/Male9-TwistMy_R1.fastq.gz,/goast/hemat_data/nf-core-tspipe/normals/Male9-TwistMy_R2.fastq.gz,male
