gene	chromosome	start	end	mean_log2	stdev_log2	fp_gain_count	fp_loss_count	fp_gain_rate	fp_loss_rate	fp_any_rate	n_samples
bb.chr1.629966	chr1	629966	630086	-0.097171	0.340516	0	1	0.000000	0.125000	0.125000	8
GNB1	chr1	1785284	1891086	0.010260	0.022865	0	0	0.000000	0.000000	0.000000	8
bb.chr1.2396316	chr1	2396316	2396436	-0.027259	0.133299	0	0	0.000000	0.000000	0.000000	8
bb.chr1.3082374	chr1	3082374	3082494	-0.014097	0.123150	0	0	0.000000	0.000000	0.000000	8
bb.chr1.3775616	chr1	3775616	3775736	0.049253	0.100109	0	0	0.000000	0.000000	0.000000	8
bb.chr1.4303615	chr1	4303615	4303735	0.016972	0.095731	0	0	0.000000	0.000000	0.000000	8
bb.chr1.5269983	chr1	5269983	5270103	0.036507	0.058186	0	0	0.000000	0.000000	0.000000	8
bb.chr1.6110304	chr1	6110304	6110424	0.001075	0.056089	0	0	0.000000	0.000000	0.000000	8
bb.chr1.7868061	chr1	7868061	7868181	-0.000554	0.067235	0	0	0.000000	0.000000	0.000000	8
bb.chr1.8949325	chr1	8949325	8949445	0.009704	0.130587	0	0	0.000000	0.000000	0.000000	8
bb.chr1.10258931	chr1	10258931	10259051	0.051489	0.107310	0	0	0.000000	0.000000	0.000000	8
bb.chr1.10904053	chr1	10904053	10904173	0.040727	0.101598	0	0	0.000000	0.000000	0.000000	8
bb.chr1.11712409	chr1	11712409	11712529	0.003006	0.040269	0	0	0.000000	0.000000	0.000000	8
bb.chr1.12597991	chr1	12597991	12598111	0.033823	0.050788	0	0	0.000000	0.000000	0.000000	8
bb.chr1.13460094	chr1	13460094	13460214	-0.031473	0.065474	0	0	0.000000	0.000000	0.000000	8
bb.chr1.14303771	chr1	14303771	14303891	0.051794	0.198776	1	0	0.125000	0.000000	0.125000	8
bb.chr1.15286922	chr1	15286922	15287042	0.024001	0.089125	0	0	0.000000	0.000000	0.000000	8
bb.chr1.16374238	chr1	16374238	16374358	-0.003412	0.032893	0	0	0.000000	0.000000	0.000000	8
bb.chr1.17603425	chr1	17603425	17603545	0.026048	0.102577	0	0	0.000000	0.000000	0.000000	8
