chromosome	start	end	gene	mean_log2	stdev_log2	n_samples	is_noisy
chr1	150500	299256	Antitarget	-0.046090	0.332417	25	True
chr1	299256	448012	Antitarget	-0.043561	0.424537	25	True
chr1	448012	596769	Antitarget	-0.074846	0.351673	25	True
chr1	596769	745525	Antitarget	-0.021041	0.335607	25	True
chr1	745525	894282	Antitarget	-0.022347	0.254851	25	False
chr1	894282	1043038	Antitarget	0.046330	0.295248	25	False
chr1	1043038	1191795	Antitarget	-0.031091	0.250377	25	False
chr1	1191795	1340551	Antitarget	-0.031251	0.369926	25	True
chr1	1340551	1489308	Antitarget	-0.002436	0.295593	25	False
chr1	1489308	1638064	Antitarget	0.004667	0.168353	25	False
chr1	1638064	1786821	Antitarget	-0.016066	0.201570	25	False
chr1	1787321	1787441	Target=1;ProbeIdx=12;GNB1_Ex_11	0.207024	0.082148	25	False
chr1	1789033	1789273	Target=2;ProbeIdx=11;GNB1_Ex_10,Target=2;ProbeIdx=23;GNB1_Ex_10	-0.196537	0.108773	25	False
chr1	1790385	1790625	Target=3;ProbeIdx=12;GNB1_Ex_9,Target=3;ProbeIdx=24;GNB1_Ex_9	-0.017696	0.095293	25	False
chr1	1793195	1793355	Target=1;ProbeIdx=8;GNB1_Ex_8,Target=1;ProbeIdx=12;GNB1_Ex_8	0.113901	0.163805	25	False
chr1	1793855	1803849	Antitarget	-0.076066	0.877897	25	True
chr1	1804349	1804589	Target=5;ProbeIdx=6;GNB1_Ex_7,Target=5;ProbeIdx=18;GNB1_Ex_7	-0.068212	0.114503	25	False
chr1	1806425	1806585	Target=2;ProbeIdx=8;GNB1_Ex_6,Target=2;ProbeIdx=12;GNB1_Ex_6	0.074827	0.135035	25	False
chr1	1815746	1815866	Target=7;ProbeIdx=12;GNB1_Ex_5	0.640788	0.214378	25	False
chr1	1817757	1817877	Target=8;ProbeIdx=5;GNB1_Ex_4	0.454188	0.120271	25	False
chr1	1825377	1825497	Target=9;ProbeIdx=11;GNB1_Ex_3	0.285642	0.097552	25	False
chr1	1825997	1968452	Antitarget	-0.034578	0.185458	25	False
chr1	1968452	2110907	Antitarget	-0.003792	0.183456	25	False
chr1	2110907	2253362	Antitarget	0.003545	0.217979	25	False
chr1	2253362	2395817	Antitarget	-0.018664	0.287014	25	False
chr1	2396317	2396436	chr1_2327756_2327875	0.053360	0.068617	25	False
chr1	2396936	2533923	Antitarget	-0.039651	0.426772	25	True
chr1	2533923	2670911	Antitarget	-0.072799	0.370426	25	True
chr1	2670911	2807899	Antitarget	-0.017777	0.481869	25	True
chr1	2807899	2944887	Antitarget	-0.043614	0.444736	25	True
chr1	2944887	3081875	Antitarget	-0.025986	0.359761	25	True
chr1	3082375	3082494	chr1_2998939_2999058	0.002235	0.178238	25	False
chr1	3082994	3221418	Antitarget	-0.038767	0.361873	25	True
chr1	3221418	3359843	Antitarget	-0.018707	0.356543	25	True
chr1	3359843	3498267	Antitarget	-0.098760	0.367919	25	True
chr1	3498267	3636692	Antitarget	-0.133913	0.535260	25	True
chr1	3636692	3775117	Antitarget	-0.066782	0.351092	25	True
chr1	3775617	3775736	chr1_3692181_3692300	0.032840	0.221264	25	False
chr1	3776236	3907956	Antitarget	0.023489	0.231145	25	False
chr1	3907956	4039676	Antitarget	-0.000728	0.271969	25	False
chr1	4039676	4171396	Antitarget	-0.033119	0.304170	25	True
chr1	4171396	4303116	Antitarget	-0.013580	0.267203	25	False
chr1	4303616	4303735	chr1_4363676_4363795	-0.036934	0.077093	25	False
chr1	4304235	4465109	Antitarget	-0.029917	0.268016	25	False
chr1	4465109	4625984	Antitarget	0.055188	0.402387	25	True
chr1	4625984	4786859	Antitarget	-0.048020	0.314649	25	True
chr1	4786859	4947734	Antitarget	-0.068464	0.329888	25	True
chr1	4947734	5108609	Antitarget	-0.023474	0.250849	25	False
chr1	5108609	5269484	Antitarget	-0.048142	0.283307	25	False
chr1	5269984	5270103	chr1_5330044_5330163	0.014726	0.058800	25	False
chr1	5270603	5410470	Antitarget	-0.100413	0.361663	25	True
chr1	5410470	5550337	Antitarget	-0.037922	0.365907	25	True
chr1	5550337	5690204	Antitarget	-0.047336	0.254040	25	False
chr1	5690204	5830071	Antitarget	-0.039852	0.321102	25	True
chr1	5830071	5969938	Antitarget	-0.023272	0.327205	25	True
chr1	5969938	6109805	Antitarget	-0.012566	0.302909	25	True
chr1	6110305	6110424	chr1_6170365_6170484	0.012464	0.132317	25	False
chr1	6110924	6257310	Antitarget	0.004064	0.152722	25	False
chr1	6257310	6403697	Antitarget	-0.010635	0.200933	25	False
chr1	6403697	6550083	Antitarget	-0.022555	0.214377	25	False
chr1	6550083	6696470	Antitarget	-0.031506	0.183136	25	False
chr1	6696470	6842856	Antitarget	-0.003254	0.165277	25	False
chr1	6842856	6989243	Antitarget	-0.016416	0.218818	25	False
chr1	6989243	7135629	Antitarget	-0.024114	0.229497	25	False
chr1	7135629	7282016	Antitarget	0.005608	0.225214	25	False
chr1	7282016	7428402	Antitarget	-0.025384	0.344195	25	True
chr1	7428402	7574789	Antitarget	-0.076667	0.359632	25	True
chr1	7574789	7721175	Antitarget	-0.004308	0.173400	25	False
chr1	7721175	7867562	Antitarget	0.006549	0.217744	25	False
chr1	7868062	7868181	chr1_7928122_7928241	0.061172	0.071772	25	False
chr1	7868681	8022987	Antitarget	0.011698	0.168542	25	False
chr1	8022987	8177293	Antitarget	-0.013501	0.237677	25	False
chr1	8177293	8331600	Antitarget	-0.008682	0.113484	25	False
chr1	8331600	8485906	Antitarget	0.009872	0.229211	25	False
chr1	8485906	8640213	Antitarget	0.050366	0.438788	25	True
chr1	8640213	8794519	Antitarget	-0.024735	0.181664	25	False
chr1	8794519	8948826	Antitarget	-0.024297	0.171239	25	False
chr1	8949326	8949445	chr1_9009385_9009504	-0.009798	0.126208	25	False
