Chromosome	Position	RelativeEnrichment
chr1	629001	NaN
chr1	630001	NaN
chr1	1785001	2.6608
chr1	1786001	5.3069
chr1	1787001	1.1884
chr1	1789001	1.0386
chr1	1790001	1.3162
chr1	1793001	0.6861
chr1	1804001	1.0434
chr1	1806001	0.7481
chr1	1815001	0.7931
chr1	1817001	0.6106
chr1	1825001	0.7788
chr1	1839001	0.9535
chr1	1890001	NaN
chr1	1891001	NaN
chr1	2396001	0.6226
chr1	3082001	0.6376
chr1	3775001	0.6006
chr1	4303001	0.7635
chr1	5269001	0.2683
chr1	5270001	0.5784
chr1	6110001	0.6325
chr1	7868001	0.6562
chr1	8949001	0.6506
chr1	10258001	0.4896
chr1	10259001	1.1758
chr1	10904001	0.7174
chr1	11712001	0.6929
chr1	12597001	0.2788
chr1	12598001	0.4566
chr1	13460001	0.6191
chr1	14303001	0.6774
chr1	15286001	0.4543
chr1	15287001	0.3143
chr1	16374001	0.8116
chr1	17603001	0.6723
chr1	18325001	0.7345
chr1	19004001	0.3728
chr1	19005001	0.3196
chr1	20305001	0.6881
chr1	21345001	NaN
chr1	22325001	0.3396
chr1	22326001	0.4551
chr1	22983001	0.3953
chr1	22984001	0.3652
chr1	23646001	0.6507
chr1	24308001	0.6330
chr1	24982001	0.6625
chr1	26168001	0.7106
chr1	26696001	NaN
chr1	26697001	NaN
chr1	26729001	1.1949
chr1	26731001	1.8159
chr1	26732001	0.8493
chr1	26760001	0.6191
chr1	26761001	1.3495
chr1	26762001	1.1831
chr1	26763001	1.2840
chr1	26766001	1.6531
chr1	26767001	1.0510
chr1	26771001	1.2859
chr1	26772001	1.6811
chr1	26773001	2.2176
chr1	26774001	2.5117
chr1	26775001	1.7101
chr1	26779001	4.2209
chr1	26780001	3.7849
chr1	26781001	5.0137
chr1	26782001	NaN
chr1	27885001	0.6028
chr1	29118001	0.3723
chr1	29119001	0.4067
chr1	29811001	0.7606
chr1	30515001	0.5783
chr1	31236001	0.6775
chr1	31848001	0.6407
chr1	32733001	0.6886
chr1	33848001	0.7847
chr1	34523001	0.7323
chr1	36150001	0.6513
chr1	36466001	3.1305
chr1	36467001	1.8754
chr1	36468001	0.8026
chr1	36469001	1.8125
chr1	36471001	1.1717
chr1	36472001	1.8134
chr1	36473001	1.6582
chr1	36475001	1.3524
chr1	36479001	0.7122
chr1	36481001	0.7288
chr1	36482001	0.5704
chr1	37047001	0.5288
chr1	37762001	0.5756
chr1	38495001	0.8243
chr1	39453001	0.5831
chr1	40075001	0.4370
chr1	40987001	0.7851
chr1	41865001	0.7165
chr1	42843001	0.6919
chr1	43337001	0.6597
chr1	43338001	1.7940
chr1	43339001	1.7709
chr1	43340001	1.5235
chr1	43346001	1.8551
chr1	43348001	0.6767
chr1	43349001	0.4937
chr1	43352001	2.5730
chr1	43353001	2.2408
chr1	43354001	3.1129
chr1	43787001	0.8629
chr1	44540001	0.5755
chr1	45508001	0.7346
chr1	46163001	0.4542
chr1	46164001	0.3221
chr1	47180001	0.6811
chr1	47852001	0.3263
chr1	47853001	0.3999
chr1	48531001	0.6025
chr1	50178001	0.5370
chr1	50179001	0.1536
chr1	52785001	0.6340
chr1	53538001	0.6112
chr1	54190001	0.5197
chr1	54191001	0.3559
chr1	55206001	0.5838
chr1	55826001	0.8921
chr1	56496001	0.6744
chr1	57205001	NaN
chr1	57206001	NaN
chr1	57829001	0.5664
chr1	58460001	0.8013
chr1	59485001	0.3041
chr1	59486001	0.5155
chr1	60476001	0.6473
chr1	61810001	0.7227
chr1	62840001	0.7918
chr1	63652001	0.7063
chr1	64437001	0.7346
chr1	65197001	0.3582
chr1	66153001	0.6056
chr1	66826001	0.5236
chr1	67833001	0.3565
chr1	68435001	0.6081
chr1	69148001	0.6149
chr1	70130001	0.7139
chr1	70790001	0.6847
chr1	71491001	0.8257
chr1	72125001	0.6198
chr1	73891001	0.7309
chr1	74561001	0.7483
chr1	75552001	1.1666
chr1	76318001	0.6021
chr1	76319001	0.2393
chr1	77082001	0.6775
chr1	78068001	0.4269
chr1	78828001	0.5592
chr1	79524001	0.8144
chr1	80163001	0.7682
chr1	80801001	0.9346
chr1	81802001	0.6955
chr1	83490001	0.4482
chr1	84452001	0.7413
chr1	85117001	0.9078
chr1	85814001	0.7789
chr1	86482001	0.6314
chr1	87233001	0.6245
chr1	88505001	0.4595
chr1	88506001	0.5604
chr1	89469001	1.1002
chr1	90482001	0.7095
chr1	91139001	0.5322
chr1	91815001	0.3014
chr1	91816001	NaN
chr1	92473001	4.8819
chr1	92474001	5.4304
chr1	92475001	4.4285
chr1	92476001	0.7225
chr1	92478001	0.8647
chr1	92480001	NaN
chr1	92481001	0.4867
chr1	92482001	0.6544
chr1	92483001	1.3159
chr1	92486001	0.7015
chr1	93845001	0.6416
chr1	95142001	0.8601
chr1	96144001	0.7180
chr1	96819001	0.7016
chr1	97486001	0.7971
chr1	98149001	1.1994
chr1	99123001	0.6627
chr1	99811001	0.5004
chr1	99812001	0.5699
chr1	100504001	0.7106
chr1	101155001	0.7808
chr1	101808001	0.8297
chr1	102853001	0.7121
chr1	103505001	1.3099
chr1	104401001	0.6750
chr1	104402001	0.1849
chr1	105095001	1.1818
chr1	105763001	0.9473
chr1	106677001	0.7272
chr1	107393001	0.6982
chr1	108336001	0.2268
chr1	110049001	0.7576
chr1	110733001	0.4614
chr1	110734001	0.2431
chr1	111720001	0.7883
chr1	112356001	0.6814
chr1	113057001	0.8114
chr1	113829001	0.7005
chr1	114704001	3.4104
chr1	114705001	5.0474
chr1	114706001	6.4729
chr1	114707001	5.3060
chr1	114708001	1.9485
chr1	114709001	1.0470
chr1	114713001	0.8252
chr1	114716001	1.3320
chr1	114726001	0.6990
chr1	115399001	0.7128
chr1	116397001	0.6891
chr1	117026001	0.3223
chr1	117712001	0.7770
chr1	119035001	0.7826
chr1	119699001	0.4726
chr1	121548001	0.8326
chr1	143997001	0.2248
chr1	145879001	0.6867
chr1	147078001	0.6435
chr1	147777001	0.7571
chr1	149940001	0.6404
chr1	150563001	0.7718
chr1	151291001	0.6218
chr1	151980001	0.7205
chr1	152617001	0.7496
chr1	153262001	0.7799
chr1	154272001	0.2946
chr1	154273001	0.4724
chr1	155288001	0.4989
chr1	155289001	0.2763
chr1	155897001	1.2853
chr1	155898001	4.7703
chr1	155899001	5.4018
chr1	155900001	3.4041
chr1	155904001	2.0746
chr1	155910001	1.4345
chr1	155911001	0.4549
chr1	156246001	0.4713
chr1	157587001	0.6224
chr1	158196001	0.1486
chr1	158197001	0.2586
chr1	158849001	0.6366
chr1	159683001	0.5446
chr1	160295001	0.7711
chr1	161269001	0.6055
chr1	161993001	0.7702
chr1	162622001	0.5373
chr1	163319001	0.7044
chr1	163940001	0.5009
chr1	163941001	0.3299
chr1	164935001	0.7999
chr1	165998001	0.7911
chr1	166930001	0.5376
chr1	167600001	0.6901
chr1	168261001	0.5952
chr1	169124001	0.6729
chr1	170262001	0.7845
chr1	171249001	0.7727
chr1	172638001	0.8031
chr1	173254001	0.7035
chr1	173863001	0.7705
chr1	175624001	0.5363
chr1	175625001	0.2460
