chrom	start	end	name	gene	n_samples	median_depth_mq0	median_depth_mq20	median_retained	min_retained	max_retained	flag	xa_n_lowmapq	xa_n_with_xa	xa_modal_locus	xa_modal_fraction
chr1	1785284	1787052	GNB1_exon_12	GNB1	23	1631.7	1631.7	1.000	1.000	1.000	OK				
chr1	1787318	1787438	GNB1_exon_11	GNB1	23	963.5	963.5	1.000	1.000	1.000	OK				
chr1	1789051	1789268	GNB1_exon_10	GNB1	23	1414.0	1414.0	1.000	1.000	1.000	OK				
chr1	1790393	1790595	GNB1_exon_9	GNB1	23	1440.0	1439.8	1.000	1.000	1.000	OK				
chr1	1793231	1793351	GNB1_exon_8	GNB1	23	869.6	869.6	1.000	1.000	1.000	OK				
chr1	1804417	1804580	GNB1_exon_7	GNB1	23	1256.9	1256.9	1.000	1.000	1.000	OK				
chr1	1806442	1806562	GNB1_exon_6	GNB1	23	1008.9	1008.9	1.000	1.000	1.000	OK				
chr1	1815747	1815867	GNB1_exon_5	GNB1	23	1097.5	1097.5	1.000	0.999	1.000	OK				
chr1	1817803	1817923	GNB1_exon_4	GNB1	23	855.2	855.2	1.000	1.000	1.000	OK				
chr1	1825388	1825508	GNB1_exon_3	GNB1	23	958.0	958.0	1.000	0.999	1.000	OK				
chr1	1839159	1839279	GNB1_exon_2	GNB1	23	753.0	753.0	1.000	1.000	1.000	OK				
chr1	1890818	1891086	GNB1_exon_1	GNB1	23	247.7	247.7	1.000	1.000	1.000	OK				
chr1	26696025	26697539	ARID1A_exon_1	ARID1A	23	733.1	732.8	1.000	0.999	1.000	OK				
chr1	26729649	26729862	ARID1A_exon_2	ARID1A	23	1388.3	1388.3	1.000	0.999	1.000	OK				
chr1	26731150	26731603	ARID1A_exon_3	ARID1A	23	1202.6	1202.6	1.000	1.000	1.000	OK				
chr1	26732672	26732792	ARID1A_exon_4	ARID1A	23	1103.2	1103.2	1.000	1.000	1.000	OK				
chr1	26760854	26761095	ARID1A_exon_5	ARID1A	23	1362.0	1362.0	1.000	1.000	1.000	OK				
chr1	26761353	26761473	ARID1A_exon_6	ARID1A	23	943.8	943.8	1.000	1.000	1.000	OK				
chr1	26762150	26762318	ARID1A_exon_7	ARID1A	23	960.6	960.6	1.000	0.999	1.000	OK				
chr1	26762971	26763284	ARID1A_exon_8	ARID1A	23	1523.5	1523.5	1.000	1.000	1.000	OK				
chr1	26766219	26766365	ARID1A_exon_9	ARID1A	23	1353.6	1353.6	1.000	1.000	1.000	OK				
chr1	26766450	26766570	ARID1A_exon_10	ARID1A	23	1190.7	1190.7	1.000	1.000	1.000	OK				
chr1	26767788	26767998	ARID1A_exon_11	ARID1A	23	1512.4	1512.4	1.000	1.000	1.000	OK				
chr1	26771117	26771325	ARID1A_exon_12	ARID1A	23	1671.4	1671.4	1.000	0.999	1.000	OK				
chr1	26772498	26772631	ARID1A_exon_13	ARID1A	23	1028.0	1028.0	1.000	1.000	1.000	OK				
chr1	26772810	26772986	ARID1A_exon_14	ARID1A	23	1462.3	1462.3	1.000	1.000	1.000	OK				
chr1	26773344	26773495	ARID1A_exon_15	ARID1A	23	1195.9	1195.9	1.000	1.000	1.000	OK				
chr1	26773578	26773716	ARID1A_exon_16	ARID1A	23	1324.1	1324.1	1.000	1.000	1.000	OK				
chr1	26773783	26773903	ARID1A_exon_17	ARID1A	23	1157.8	1157.8	1.000	1.000	1.000	OK				
chr1	26774327	26775219	ARID1A_exon_18	ARID1A	23	1386.4	1385.8	1.000	1.000	1.000	OK				
chr1	26775580	26775700	ARID1A_exon_19	ARID1A	23	1041.7	1041.7	1.000	1.000	1.000	OK				
chr1	26779021	26782103	ARID1A_exon_20	ARID1A	23	1718.8	1718.7	1.000	1.000	1.000	OK				
chr1	36466041	36466826	CSF3R_exon_17	CSF3R	23	1484.6	1484.6	1.000	1.000	1.000	OK				
chr1	36467200	36467320	CSF3R_exon_16	CSF3R	23	991.3	991.3	1.000	1.000	1.000	OK				
chr1	36467531	36467651	CSF3R_exon_15	CSF3R	23	1015.1	1015.0	1.000	1.000	1.000	OK				
chr1	36467820	36467961	CSF3R_exon_14	CSF3R	23	1011.9	1011.9	1.000	1.000	1.000	OK				
chr1	36468073	36468220	CSF3R_exon_13	CSF3R	23	874.6	874.6	1.000	0.999	1.000	OK				
chr1	36469145	36469265	CSF3R_exon_12	CSF3R	23	1091.6	1091.6	1.000	1.000	1.000	OK				
chr1	36469650	36469839	CSF3R_exon_11	CSF3R	23	1265.7	1265.7	1.000	1.000	1.000	OK				
chr1	36471431	36471645	CSF3R_exon_10	CSF3R	23	1241.0	1241.0	1.000	1.000	1.000	OK				
chr1	36472040	36472160	CSF3R_exon_9	CSF3R	23	756.7	756.7	1.000	0.999	1.000	OK				
chr1	36472236	36472390	CSF3R_exon_8	CSF3R	23	1168.6	1168.3	1.000	1.000	1.000	OK				
chr1	36472515	36472685	CSF3R_exon_7	CSF3R	23	1007.5	1007.4	1.000	0.999	1.000	OK				
chr1	36473433	36473621	CSF3R_exon_6	CSF3R	23	1399.8	1399.8	1.000	1.000	1.000	OK				
chr1	36473764	36473884	CSF3R_exon_5	CSF3R	23	1137.0	1137.0	1.000	1.000	1.000	OK				
