# tool: derive_exclusion_list  run: 2026-09-01 09:49:39
# cohort: 24 male BAMs (8-plex, 16 hr) -- conforming capture. 24 female normals (12-plex) excluded as nonconforming.
# spread source: /goast/hemat_data/pon_twist/pon/cnvkit_pon_male.cnn  md5=04875c55ade3edc699accea2818a00fe
# criterion: male tile median depth < 30x. Replaces retired GC<0.35 rule (derived from nonconforming 12-plex female batch).
# backbone depth source: /goast/hemat_data/nf-core-tspipe/qc/twist_pon48/backbone_male (24 files)
# gc column: annotation only, from /goast/hemat_data/nf-core-tspipe/qc/twist_early/backbone_tile_depth.tsv  md5=bc8f78e5bab041e3ebb31a30daf10193
name	chrom	start	end	male_median_depth	min_depth	max_depth	gc	criterion
bb.chr1.52070239	chr1	52070239	52070359	5.8	0.5	51.5	0.292	male_median<30x
bb.chr1.94472394	chr1	94472394	94472514	12.2	4.1	68.5	0.242	male_median<30x
bb.chr1.109411497	chr1	109411497	109411617	28.9	4.5	456.7	0.325	male_median<30x
bb.chr1.171937971	chr1	171937971	171938091	22.1	7.5	90.9	0.283	male_median<30x
bb.chr1.186019375	chr1	186019375	186019495	11.1	3.0	74.8	0.233	male_median<30x
bb.chr10.209693	chr10	209693	209813	21.0	5.6	1117.3	0.325	male_median<30x
bb.chr10.5746087	chr10	5746087	5746207	27.0	12.5	90.5	0.283	male_median<30x
bb.chr10.35744223	chr10	35744223	35744343	16.4	4.3	92.0	0.275	male_median<30x
bb.chr10.47730534	chr10	47730534	47730654	27.4	8.3	142.5	0.250	male_median<30x
bb.chr10.88284972	chr10	88284972	88285092	16.5	4.5	92.6	0.242	male_median<30x
bb.chr10.129257034	chr10	129257034	129257154	14.4	4.1	70.0	0.242	male_median<30x
bb.chr11.24892698	chr11	24892698	24892818	12.3	3.6	94.3	0.242	male_median<30x
bb.chr11.86120331	chr11	86120331	86120451	25.2	1.9	122.6	0.300	male_median<30x
bb.chr11.101765457	chr11	101765457	101765577	19.0	3.1	96.3	0.242	male_median<30x
