gene	chromosome	start	end	mean_log2	stdev_log2	fp_gain_count	fp_loss_count	fp_gain_rate	fp_loss_rate	fp_any_rate	n_samples
bb.chr1.629966	chr1	629966	630086	0.023824	0.453195	4	2	0.173913	0.086957	0.260870	23
GNB1	chr1	1785284	1891086	0.028845	0.022776	0	0	0.000000	0.000000	0.000000	23
bb.chr1.2396316	chr1	2396316	2396436	-0.011625	0.089894	0	0	0.000000	0.000000	0.000000	23
bb.chr1.3082374	chr1	3082374	3082494	-0.016173	0.156638	0	0	0.000000	0.000000	0.000000	23
bb.chr1.3775616	chr1	3775616	3775736	-0.015643	0.118523	0	0	0.000000	0.000000	0.000000	23
bb.chr1.4303615	chr1	4303615	4303735	0.019111	0.057993	0	0	0.000000	0.000000	0.000000	23
bb.chr1.5269983	chr1	5269983	5270103	-0.001047	0.078363	0	0	0.000000	0.000000	0.000000	23
bb.chr1.6110304	chr1	6110304	6110424	0.026350	0.120185	0	0	0.000000	0.000000	0.000000	23
bb.chr1.7868061	chr1	7868061	7868181	-0.006620	0.071546	0	0	0.000000	0.000000	0.000000	23
bb.chr1.8949325	chr1	8949325	8949445	0.008469	0.125023	0	0	0.000000	0.000000	0.000000	23
bb.chr1.10258931	chr1	10258931	10259051	-0.041973	0.190900	0	0	0.000000	0.000000	0.000000	23
bb.chr1.10904053	chr1	10904053	10904173	0.026770	0.115373	0	0	0.000000	0.000000	0.000000	23
bb.chr1.11712409	chr1	11712409	11712529	0.028215	0.133825	0	0	0.000000	0.000000	0.000000	23
bb.chr1.12597991	chr1	12597991	12598111	0.012455	0.078819	0	0	0.000000	0.000000	0.000000	23
bb.chr1.13460094	chr1	13460094	13460214	-0.009480	0.106291	0	0	0.000000	0.000000	0.000000	23
bb.chr1.14303771	chr1	14303771	14303891	0.114619	0.244335	3	0	0.130435	0.000000	0.130435	23
bb.chr1.15286922	chr1	15286922	15287042	-0.009018	0.101642	0	0	0.000000	0.000000	0.000000	23
bb.chr1.16374238	chr1	16374238	16374358	-0.047055	0.068390	0	0	0.000000	0.000000	0.000000	23
bb.chr1.17603425	chr1	17603425	17603545	0.008746	0.127020	0	0	0.000000	0.000000	0.000000	23
bb.chr1.18325392	chr1	18325392	18325512	-0.003763	0.112052	0	0	0.000000	0.000000	0.000000	23
bb.chr1.19004939	chr1	19004939	19005059	-0.010168	0.086829	0	0	0.000000	0.000000	0.000000	23
bb.chr1.20305614	chr1	20305614	20305734	-0.012665	0.089881	0	0	0.000000	0.000000	0.000000	23
bb.chr1.21345632	chr1	21345632	21345752	-0.004220	0.166687	0	0	0.000000	0.000000	0.000000	23
bb.chr1.22325948	chr1	22325948	22326068	-0.007923	0.070863	0	0	0.000000	0.000000	0.000000	23
bb.chr1.22983932	chr1	22983932	22984052	-0.019263	0.106955	0	0	0.000000	0.000000	0.000000	23
bb.chr1.23646059	chr1	23646059	23646179	-0.041919	0.073018	0	0	0.000000	0.000000	0.000000	23
bb.chr1.24308620	chr1	24308620	24308740	0.023903	0.079050	0	0	0.000000	0.000000	0.000000	23
bb.chr1.24982708	chr1	24982708	24982828	0.021493	0.096648	0	0	0.000000	0.000000	0.000000	23
bb.chr1.26168335	chr1	26168335	26168455	0.000534	0.101793	0	0	0.000000	0.000000	0.000000	23
ARID1A	chr1	26696025	26782103	0.019227	0.037355	0	0	0.000000	0.000000	0.000000	23
bb.chr1.27885079	chr1	27885079	27885199	0.003047	0.094905	0	0	0.000000	0.000000	0.000000	23
bb.chr1.29118942	chr1	29118942	29119062	-0.007846	0.082396	0	0	0.000000	0.000000	0.000000	23
bb.chr1.29811183	chr1	29811183	29811303	-0.002330	0.066104	0	0	0.000000	0.000000	0.000000	23
bb.chr1.30515623	chr1	30515623	30515743	-0.006371	0.164959	0	0	0.000000	0.000000	0.000000	23
bb.chr1.31236307	chr1	31236307	31236427	-0.064386	0.127004	0	0	0.000000	0.000000	0.000000	23
bb.chr1.31848639	chr1	31848639	31848759	-0.003229	0.155310	0	0	0.000000	0.000000	0.000000	23
bb.chr1.32733706	chr1	32733706	32733826	0.037417	0.111848	0	0	0.000000	0.000000	0.000000	23
bb.chr1.33848750	chr1	33848750	33848870	-0.017012	0.128456	0	0	0.000000	0.000000	0.000000	23
bb.chr1.34523293	chr1	34523293	34523413	-0.032181	0.074770	0	0	0.000000	0.000000	0.000000	23
bb.chr1.36150676	chr1	36150676	36150796	-0.018528	0.105529	0	0	0.000000	0.000000	0.000000	23
CSF3R	chr1	36466041	36482922	0.007075	0.060632	0	0	0.000000	0.000000	0.000000	23
bb.chr1.37047842	chr1	37047842	37047962	-0.159400	0.294321	0	4	0.000000	0.173913	0.173913	23
bb.chr1.37762525	chr1	37762525	37762645	-0.016607	0.135859	0	0	0.000000	0.000000	0.000000	23
bb.chr1.38495305	chr1	38495305	38495425	-0.023116	0.094272	0	0	0.000000	0.000000	0.000000	23
bb.chr1.39453502	chr1	39453502	39453622	0.007178	0.106326	0	0	0.000000	0.000000	0.000000	23
bb.chr1.40075417	chr1	40075417	40075537	-0.078718	0.412323	4	4	0.173913	0.173913	0.347826	23
bb.chr1.40987721	chr1	40987721	40987841	0.015135	0.079002	0	0	0.000000	0.000000	0.000000	23
bb.chr1.41865448	chr1	41865448	41865568	0.043943	0.116465	0	0	0.000000	0.000000	0.000000	23
bb.chr1.42843652	chr1	42843652	42843772	0.104911	0.143665	0	0	0.000000	0.000000	0.000000	23
MPL	chr1	43337811	43354465	-0.000567	0.038088	0	0	0.000000	0.000000	0.000000	23
bb.chr1.43787284	chr1	43787284	43787404	0.038089	0.129720	0	0	0.000000	0.000000	0.000000	23
bb.chr1.44540268	chr1	44540268	44540388	0.000041	0.190199	0	0	0.000000	0.000000	0.000000	23
bb.chr1.45508196	chr1	45508196	45508316	0.054055	0.118270	0	0	0.000000	0.000000	0.000000	23
bb.chr1.46163921	chr1	46163921	46164041	0.016795	0.132780	1	0	0.043478	0.000000	0.043478	23
bb.chr1.47180263	chr1	47180263	47180383	-0.043221	0.088858	0	0	0.000000	0.000000	0.000000	23
bb.chr1.47852957	chr1	47852957	47853077	0.026628	0.189964	0	0	0.000000	0.000000	0.000000	23
bb.chr1.48531147	chr1	48531147	48531267	-0.016708	0.105008	0	0	0.000000	0.000000	0.000000	23
bb.chr1.50178904	chr1	50178904	50179024	0.042103	0.090988	0	0	0.000000	0.000000	0.000000	23
bb.chr1.52785183	chr1	52785183	52785303	-0.010507	0.088882	0	0	0.000000	0.000000	0.000000	23
bb.chr1.53538015	chr1	53538015	53538135	-0.040812	0.064001	0	0	0.000000	0.000000	0.000000	23
bb.chr1.54190918	chr1	54190918	54191038	0.017132	0.077494	0	0	0.000000	0.000000	0.000000	23
bb.chr1.55206597	chr1	55206597	55206717	-0.013399	0.183148	0	0	0.000000	0.000000	0.000000	23
bb.chr1.55826229	chr1	55826229	55826349	0.009970	0.081310	0	0	0.000000	0.000000	0.000000	23
bb.chr1.56496024	chr1	56496024	56496144	0.060900	0.140315	1	0	0.043478	0.000000	0.043478	23
bb.chr1.57205930	chr1	57205930	57206050			0	0	0.000000	0.000000	0.000000	0
bb.chr1.57829032	chr1	57829032	57829152	-0.041673	0.260355	0	0	0.000000	0.000000	0.000000	23
bb.chr1.58460464	chr1	58460464	58460584	-0.004319	0.121807	0	0	0.000000	0.000000	0.000000	23
bb.chr1.59485973	chr1	59485973	59486093	0.021553	0.102799	0	0	0.000000	0.000000	0.000000	23
bb.chr1.60476632	chr1	60476632	60476752	0.081273	0.352803	4	1	0.173913	0.043478	0.217391	23
bb.chr1.61810166	chr1	61810166	61810286	0.079632	0.101244	0	0	0.000000	0.000000	0.000000	23
bb.chr1.62840501	chr1	62840501	62840621	-0.037025	0.261205	0	0	0.000000	0.000000	0.000000	23
bb.chr1.63652512	chr1	63652512	63652632	-0.018750	0.107198	0	0	0.000000	0.000000	0.000000	23
bb.chr1.64437752	chr1	64437752	64437872	0.025871	0.168537	0	0	0.000000	0.000000	0.000000	23
bb.chr1.65197238	chr1	65197238	65197358	-0.341987	1.085734	2	4	0.086957	0.173913	0.260870	23
bb.chr1.66153835	chr1	66153835	66153955	-0.003018	0.083993	0	0	0.000000	0.000000	0.000000	23
bb.chr1.66826735	chr1	66826735	66826855	-0.009497	0.285537	1	0	0.043478	0.000000	0.043478	23
bb.chr1.67833548	chr1	67833548	67833668	-0.006656	0.114296	0	0	0.000000	0.000000	0.000000	23
bb.chr1.68435114	chr1	68435114	68435234	0.058569	0.177051	0	0	0.000000	0.000000	0.000000	23
bb.chr1.69148839	chr1	69148839	69148959	0.043807	0.115347	0	0	0.000000	0.000000	0.000000	23
bb.chr1.70130792	chr1	70130792	70130912	-0.048754	0.101708	0	0	0.000000	0.000000	0.000000	23
bb.chr1.70790764	chr1	70790764	70790884	0.016905	0.100851	0	0	0.000000	0.000000	0.000000	23
bb.chr1.71491517	chr1	71491517	71491637	0.008762	0.078180	0	0	0.000000	0.000000	0.000000	23
bb.chr1.72125122	chr1	72125122	72125242			0	0	0.000000	0.000000	0.000000	0
bb.chr1.73891356	chr1	73891356	73891476	-0.027459	0.145855	0	0	0.000000	0.000000	0.000000	23
bb.chr1.74561648	chr1	74561648	74561768	0.003635	0.114749	0	0	0.000000	0.000000	0.000000	23
bb.chr1.75552566	chr1	75552566	75552686	-0.021540	0.138160	0	0	0.000000	0.000000	0.000000	23
bb.chr1.76318891	chr1	76318891	76319011	-0.016954	0.094805	0	0	0.000000	0.000000	0.000000	23
bb.chr1.77082086	chr1	77082086	77082206	0.013181	0.084928	0	0	0.000000	0.000000	0.000000	23
bb.chr1.78068141	chr1	78068141	78068261			0	0	0.000000	0.000000	0.000000	0
