chrom	start	end	name	gene	n_probes	span_bp	covered_bp	span_ratio
chr1	1785284	1787052	GNB1_exon_12	GNB1	15	1768	1800	0.98
chr1	1787318	1787438	GNB1_exon_11	GNB1	1	120	120	1.0
chr1	1789051	1789268	GNB1_exon_10	GNB1	2	217	240	0.9
chr1	1790393	1790595	GNB1_exon_9	GNB1	2	202	240	0.84
chr1	1793231	1793351	GNB1_exon_8	GNB1	1	120	120	1.0
chr1	1804417	1804580	GNB1_exon_7	GNB1	2	163	240	0.68
chr1	1806442	1806562	GNB1_exon_6	GNB1	1	120	120	1.0
chr1	1815747	1815867	GNB1_exon_5	GNB1	1	120	120	1.0
chr1	1817803	1817923	GNB1_exon_4	GNB1	1	120	120	1.0
chr1	1825388	1825508	GNB1_exon_3	GNB1	1	120	120	1.0
chr1	1839159	1839279	GNB1_exon_2	GNB1	1	120	120	1.0
chr1	1890818	1891086	GNB1_exon_1	GNB1	3	268	360	0.74
chr1	26696025	26697539	ARID1A_exon_1	ARID1A	13	1514	1560	0.97
chr1	26729649	26729862	ARID1A_exon_2	ARID1A	2	213	240	0.89
chr1	26731150	26731603	ARID1A_exon_3	ARID1A	4	453	480	0.94
chr1	26732672	26732792	ARID1A_exon_4	ARID1A	1	120	120	1.0
chr1	26760854	26761095	ARID1A_exon_5	ARID1A	2	241	240	1.0
chr1	26761353	26761473	ARID1A_exon_6	ARID1A	1	120	120	1.0
chr1	26762150	26762318	ARID1A_exon_7	ARID1A	2	168	240	0.7
chr1	26762971	26763284	ARID1A_exon_8	ARID1A	3	313	360	0.87
chr1	26766219	26766365	ARID1A_exon_9	ARID1A	2	146	240	0.61
chr1	26766450	26766570	ARID1A_exon_10	ARID1A	1	120	120	1.0
chr1	26767788	26767998	ARID1A_exon_11	ARID1A	2	210	240	0.88
chr1	26771117	26771325	ARID1A_exon_12	ARID1A	2	208	240	0.87
chr1	26772498	26772631	ARID1A_exon_13	ARID1A	2	133	240	0.55
chr1	26772810	26772986	ARID1A_exon_14	ARID1A	2	176	240	0.73
chr1	26773344	26773495	ARID1A_exon_15	ARID1A	2	151	240	0.63
chr1	26773578	26773716	ARID1A_exon_16	ARID1A	2	138	240	0.57
chr1	26773783	26773903	ARID1A_exon_17	ARID1A	1	120	120	1.0
chr1	26774327	26775219	ARID1A_exon_18	ARID1A	8	892	960	0.93
chr1	26775580	26775700	ARID1A_exon_19	ARID1A	1	120	120	1.0
chr1	26779021	26782103	ARID1A_exon_20	ARID1A	26	3082	3120	0.99
chr1	36466041	36466826	CSF3R_exon_17	CSF3R	7	785	840	0.93
chr1	36467200	36467320	CSF3R_exon_16	CSF3R	1	120	120	1.0
chr1	36467531	36467651	CSF3R_exon_15	CSF3R	1	120	120	1.0
chr1	36467820	36467961	CSF3R_exon_14	CSF3R	2	141	240	0.59
chr1	36468073	36468220	CSF3R_exon_13	CSF3R	2	147	240	0.61
chr1	36469145	36469265	CSF3R_exon_12	CSF3R	1	120	120	1.0
chr1	36469650	36469839	CSF3R_exon_11	CSF3R	2	189	240	0.79
chr1	36471431	36471645	CSF3R_exon_10	CSF3R	2	214	240	0.89
chr1	36472040	36472160	CSF3R_exon_9	CSF3R	1	120	120	1.0
chr1	36472236	36472390	CSF3R_exon_8	CSF3R	2	154	240	0.64
chr1	36472515	36472685	CSF3R_exon_7	CSF3R	2	170	240	0.71
chr1	36473433	36473621	CSF3R_exon_6	CSF3R	2	188	240	0.78
chr1	36473764	36473884	CSF3R_exon_5	CSF3R	1	120	120	1.0
chr1	36475375	36475672	CSF3R_exon_4	CSF3R	3	297	360	0.82
chr1	36479424	36479544	CSF3R_exon_3	CSF3R	1	120	120	1.0
chr1	36481417	36481537	CSF3R_exon_2	CSF3R	1	120	120	1.0
chr1	36482802	36482922	CSF3R_exon_1	CSF3R	1	120	120	1.0
chr1	43337811	43337931	MPL_exon_1	MPL	1	120	120	1.0
chr1	43338097	43338230	MPL_exon_2	MPL	2	133	240	0.55
chr1	43338540	43338719	MPL_exon_3	MPL	2	179	240	0.75
chr1	43339269	43339568	MPL_exon_4	MPL	3	299	360	0.83
chr1	43339962	43340125	MPL_exon_5	MPL	2	163	240	0.68
chr1	43340388	43340508	MPL_exon_6	MPL	1	120	120	1.0
chr1	43346443	43346628	MPL_exon_7	MPL	2	185	240	0.77
chr1	43346790	43346933	MPL_exon_8	MPL	2	143	240	0.6
chr1	43348841	43349001	MPL_exon_9	MPL	2	160	240	0.67
chr1	43349242	43349362	MPL_exon_10	MPL	1	120	120	1.0
chr1	43352195	43352315	MPL_exon_11	MPL	1	120	120	1.0
chr1	43352516	43354465	MPL_exon_12	MPL	12	1949	1440	1.35
chr1	92473041	92476206	GFI1_exon_7	GFI1	27	3165	3240	0.98
chr1	92478586	92478752	GFI1_exon_6	GFI1	2	166	240	0.69
chr1	92480346	92480484	GFI1_exon_5	GFI1	2	138	240	0.57
chr1	92480599	92481087	GFI1_exon_4	GFI1	4	488	480	1.02
chr1	92482862	92483045	GFI1_exon_3	GFI1	2	183	240	0.76
chr1	92483371	92483585	GFI1_exon_2	GFI1	2	214	240	0.89
chr1	92486724	92486924	GFI1_exon_1	GFI1	2	200	240	0.83
chr1	114704467	114708049	NRAS_exon_7	NRAS	29	3582	3480	1.03
chr1	114708152	114708272	NRAS_exon_6	NRAS	1	120	120	1.0
chr1	114708531	114708651	NRAS_exon_5	NRAS	1	120	120	1.0
chr1	114709567	114709727	NRAS_exon_4	NRAS	2	160	240	0.67
chr1	114713798	114713977	NRAS_exon_3	NRAS	2	179	240	0.75
chr1	114716052	114716172	NRAS_exon_2	NRAS	1	120	120	1.0
chr1	114716653	114716773	NRAS_exon_1	NRAS	1	120	120	1.0
chr1	155897806	155900617	RIT1_exon_6	RIT1	23	2811	2760	1.02
chr1	155904309	155904501	RIT1_exon_5	RIT1	2	192	240	0.8
chr1	155904728	155904848	RIT1_exon_4	RIT1	1	120	120	1.0
chr1	155910432	155910552	RIT1_exon_3	RIT1	1	120	120	1.0
chr1	155910654	155910803	RIT1_exon_2	RIT1	2	149	240	0.62
chr1	155911234	155911354	RIT1_exon_1	RIT1	1	120	120	1.0
chr1	190097656	190099133	BRINP3_exon_8	BRINP3	13	1477	1560	0.95
chr1	190160666	190160889	BRINP3_exon_7	BRINP3	2	223	240	0.93
chr1	190226080	190226317	BRINP3_exon_6	BRINP3	2	237	240	0.99
chr1	190234363	190234483	BRINP3_exon_5	BRINP3	1	120	120	1.0
chr1	190264863	190265054	BRINP3_exon_4	BRINP3	2	191	240	0.8
chr1	190281558	190281749	BRINP3_exon_3	BRINP3	2	191	240	0.8
chr1	190454653	190454939	BRINP3_exon_2	BRINP3	3	286	360	0.79
chr1	190477446	190477863	BRINP3_exon_1	BRINP3	4	417	480	0.87
chr1	202331655	202331959	UBE2T_exon_7	UBE2T	3	304	360	0.84
chr1	202332986	202333106	UBE2T_exon_6	UBE2T	1	120	120	1.0
chr1	202333217	202333337	UBE2T_exon_5	UBE2T	1	120	120	1.0
