chromosome	start	end	gene	mean_log2	stdev_log2	n_samples	is_noisy
chr1	150500	299256	Antitarget	-0.016997	0.278541	56	False
chr1	299256	448012	Antitarget	-0.018252	0.420180	56	True
chr1	448012	596769	Antitarget	-0.035251	0.316380	56	True
chr1	596769	745525	Antitarget	-0.004368	0.352545	56	True
chr1	745525	894282	Antitarget	0.065925	0.547839	56	True
chr1	894282	1043038	Antitarget	-0.018800	0.299172	56	False
chr1	1043038	1191795	Antitarget	-0.002087	0.224975	56	False
chr1	1191795	1340551	Antitarget	-0.010606	0.270653	56	False
chr1	1340551	1489308	Antitarget	0.141847	0.641842	56	True
chr1	1489308	1638064	Antitarget	-0.061568	0.343897	56	True
chr1	1638064	1786821	Antitarget	-0.020871	0.342567	56	True
chr1	1787321	1787441	Target=1;ProbeIdx=12;GNB1_Ex_11	0.095524	0.431177	56	True
chr1	1789033	1789273	Target=2;ProbeIdx=11;GNB1_Ex_10,Target=2;ProbeIdx=23;GNB1_Ex_10	0.172120	0.136734	56	False
chr1	1790385	1790625	Target=3;ProbeIdx=12;GNB1_Ex_9,Target=3;ProbeIdx=24;GNB1_Ex_9	0.191323	0.130943	56	False
chr1	1793195	1793355	Target=1;ProbeIdx=8;GNB1_Ex_8,Target=1;ProbeIdx=12;GNB1_Ex_8	0.220880	0.177144	56	False
chr1	1793855	1803849	Antitarget	-0.054008	1.001548	56	True
chr1	1804349	1804589	Target=5;ProbeIdx=6;GNB1_Ex_7,Target=5;ProbeIdx=18;GNB1_Ex_7	0.045008	0.132084	56	False
chr1	1806425	1806585	Target=2;ProbeIdx=8;GNB1_Ex_6,Target=2;ProbeIdx=12;GNB1_Ex_6	0.187125	0.250604	56	False
chr1	1815746	1815866	Target=7;ProbeIdx=12;GNB1_Ex_5	-0.002440	0.342537	56	True
chr1	1817757	1817877	Target=8;ProbeIdx=5;GNB1_Ex_4	0.238048	0.263688	56	False
chr1	1825377	1825497	Target=9;ProbeIdx=11;GNB1_Ex_3	0.039389	0.222354	56	False
chr1	1825997	1975815	Antitarget	-0.015034	0.366751	56	True
chr1	1975815	2125633	Antitarget	-0.048773	0.264057	56	False
chr1	2125633	2275452	Antitarget	-0.027136	0.283450	56	False
chr1	2275452	2425270	Antitarget	0.061101	0.621798	56	True
