gene	chromosome	start	end	mean_log2	stdev_log2	fp_gain_count	fp_loss_count	fp_gain_rate	fp_loss_rate	fp_any_rate	n_samples
GNB1	chr1	1787321	1825497	0.003988	0.145655	0	0	0.000000	0.000000	0.000000	55
ARID1A	chr1	26696361	26780793	-0.044343	0.101845	0	0	0.000000	0.000000	0.000000	55
CSF3R	chr1	36466337	36468032	0.083276	0.099650	0	0	0.000000	0.000000	0.000000	55
MPL	chr1	43349190	43352788	-0.081090	0.146576	0	1	0.000000	0.018182	0.018182	55
GFI1	chr1	92475989	92483563	0.054327	0.232078	4	0	0.072727	0.000000	0.072727	55
NRAS	chr1	114709489	114716160	-0.092033	0.137416	0	0	0.000000	0.000000	0.000000	55
RIT1	chr1	155900378	155910978	-0.087668	0.151354	0	0	0.000000	0.000000	0.000000	55
BRINP3	chr1	190097948	190454935	0.041062	0.112470	0	0	0.000000	0.000000	0.000000	55
UBE2T	chr1	202331775	202335826	0.015162	0.102176	0	0	0.000000	0.000000	0.000000	55
EGLN1	chr1	231366361	231422023	-0.033932	0.269327	2	1	0.036364	0.018182	0.054545	55
MYCN	chr2	15941977	15946113	0.167201	0.189956	5	0	0.090909	0.000000	0.090909	55
DNMT3A	chr2	25234229	25314053	-0.038701	0.088297	0	0	0.000000	0.000000	0.000000	55
ASXL2	chr2	25741979	25750516	-0.073895	0.110336	0	0	0.000000	0.000000	0.000000	55
EPAS1	chr2	46376519	46380747	0.251894	0.130542	10	0	0.181818	0.000000	0.181818	55
SF3B1	chr2	197401702	197408188	0.033018	0.106232	0	0	0.000000	0.000000	0.000000	55
IDH1	chr2	208248349	208248709	0.104239	0.166356	0	0	0.000000	0.000000	0.000000	55
CTNNB1	chr3	41224019	41239354	-0.020635	0.144160	0	0	0.000000	0.000000	0.000000	55
SETD2	chr3	47017083	47163964	-0.015904	0.074684	0	0	0.000000	0.000000	0.000000	55
CBLB	chr3	105720017	105740684	-0.042971	0.087693	0	0	0.000000	0.000000	0.000000	55
GATA2	chr3	128480954	128487144	0.022306	0.156121	1	0	0.018182	0.000000	0.018182	55
DHX15	chr4	24527884	24584463	-0.023100	0.086829	0	0	0.000000	0.000000	0.000000	55
KIT	chr4	54695452	54736708	-0.004474	0.116050	0	0	0.000000	0.000000	0.000000	55
TET2	chr4	105233903	105276588	0.000535	0.058261	0	0	0.000000	0.000000	0.000000	55
NAF1	chr4	163128832	163166844	0.008661	0.189642	1	0	0.018182	0.000000	0.018182	55
IL7R	chr5	35873410	35875672	-0.027010	0.144354	0	0	0.000000	0.000000	0.000000	55
IRF1	chr5	132483901	132489502	-0.019187	0.219925	1	0	0.018182	0.000000	0.018182	55
CSNK1A1	chr5	149496743	149551022	-0.030769	0.082253	0	0	0.000000	0.000000	0.000000	55
CSF1R	chr5	150054196	150086492	-0.046812	0.107551	0	0	0.000000	0.000000	0.000000	55
NPM1	chr5	171405292	171410635	-0.044778	0.129105	0	0	0.000000	0.000000	0.000000	55
DDX41	chr5	177511711	177517009	-0.015599	0.083730	0	0	0.000000	0.000000	0.000000	55
CCND3	chr6	41935930	41941732	0.015893	0.198593	2	0	0.036364	0.000000	0.036364	55
