@HD	VN:1.6
@SQ	SN:chr1	LN:248956422
@SQ	SN:chr2	LN:242193529
@SQ	SN:chr3	LN:198295559
@SQ	SN:chr4	LN:190214555
@SQ	SN:chr5	LN:181538259
@SQ	SN:chr6	LN:170805979
@SQ	SN:chr7	LN:159345973
@SQ	SN:chr8	LN:145138636
@SQ	SN:chr9	LN:138394717
@SQ	SN:chr10	LN:133797422
@SQ	SN:chr11	LN:135086622
@SQ	SN:chr12	LN:133275309
@SQ	SN:chr13	LN:114364328
@SQ	SN:chr14	LN:107043718
@SQ	SN:chr15	LN:101991189
@SQ	SN:chr16	LN:90338345
@SQ	SN:chr17	LN:83257441
@SQ	SN:chr18	LN:80373285
@SQ	SN:chr19	LN:58617616
@SQ	SN:chr20	LN:64444167
@SQ	SN:chr21	LN:46709983
@SQ	SN:chr22	LN:50818468
@SQ	SN:chrX	LN:156040895
@SQ	SN:chrY	LN:57227415
Target	gc_bias	mappability	reptiming	Gene	on_target
chr1:629967-630086	0.491666666666667	NA	NA	.	TRUE
chr1:1785285-1785514	0.408695652173913	NA	NA	GNB1	TRUE
chr1:1785515-1785744	0.539130434782609	NA	NA	GNB1	TRUE
chr1:1785773-1786092	0.396875	NA	NA	GNB1	TRUE
chr1:1786093-1786412	0.440625	NA	NA	GNB1	TRUE
chr1:1786413-1786732	0.38125	NA	NA	GNB1	TRUE
chr1:1786733-1787052	0.396875	NA	NA	GNB1	TRUE
chr1:1787319-1787438	0.591666666666667	NA	NA	GNB1	TRUE
chr1:1789052-1789268	0.566820276497696	NA	NA	GNB1	TRUE
chr1:1790394-1790595	0.564356435643564	NA	NA	GNB1	TRUE
chr1:1793232-1793351	0.525	NA	NA	GNB1	TRUE
chr1:1804418-1804580	0.570552147239264	NA	NA	GNB1	TRUE
chr1:1806443-1806562	0.5	NA	NA	GNB1	TRUE
chr1:1815748-1815867	0.575	NA	NA	GNB1	TRUE
chr1:1817804-1817923	0.5	NA	NA	GNB1	TRUE
chr1:1825389-1825508	0.466666666666667	NA	NA	GNB1	TRUE
chr1:1839160-1839279	0.358333333333333	NA	NA	GNB1	TRUE
chr1:1890819-1891086	0.835820895522388	NA	NA	GNB1	TRUE
chr1:2396317-2396436	0.483333333333333	NA	NA	RER1	TRUE
chr1:3082375-3082494	0.633333333333333	NA	NA	PRDM16	TRUE
chr1:3775617-3775736	0.65	NA	NA	SMIM1	TRUE
chr1:4303616-4303735	0.483333333333333	NA	NA	.	TRUE
chr1:5269984-5270103	0.558333333333333	NA	NA	.	TRUE
chr1:6110305-6110424	0.591666666666667	NA	NA	CHD5	TRUE
chr1:7868062-7868181	0.441666666666667	NA	NA	UTS2	TRUE
chr1:8949326-8949445	0.558333333333333	NA	NA	CA6	TRUE
chr1:10258932-10259051	0.366666666666667	NA	NA	KIF1B	TRUE
chr1:10904054-10904173	0.641666666666667	NA	NA	.	TRUE
chr1:11712410-11712529	0.608333333333333	NA	NA	DRAXIN	TRUE
chr1:12597992-12598111	0.566666666666667	NA	NA	DHRS3	TRUE
chr1:13460095-13460214	0.525	NA	NA	.	TRUE
chr1:14303772-14303891	0.341666666666667	NA	NA	.	TRUE
chr1:15286923-15287042	0.433333333333333	NA	NA	FHAD1	TRUE
chr1:16374239-16374358	0.5	NA	NA	SZRD1	TRUE
chr1:17603426-17603545	0.625	NA	NA	ARHGEF10L	TRUE
chr1:18325393-18325512	0.591666666666667	NA	NA	IGSF21	TRUE
chr1:19004940-19005059	0.516666666666667	NA	NA	.	TRUE
chr1:20305615-20305734	0.591666666666667	NA	NA	.	TRUE
chr1:21345633-21345752	0.741666666666667	NA	NA	.	TRUE
chr1:22325949-22326068	0.516666666666667	NA	NA	.	TRUE
chr1:22983933-22984052	0.458333333333333	NA	NA	.	TRUE
chr1:23646060-23646179	0.516666666666667	NA	NA	.	TRUE
chr1:24308621-24308740	0.475	NA	NA	GRHL3	TRUE
chr1:24982709-24982828	0.566666666666667	NA	NA	.	TRUE
chr1:26168336-26168455	0.583333333333333	NA	NA	C1orf232	TRUE
chr1:26696026-26696236	0.76303317535545	NA	NA	ARID1A	TRUE
chr1:26696250-26696571	0.791925465838509	NA	NA	ARID1A	TRUE
chr1:26696572-26696894	0.773993808049536	NA	NA	ARID1A	TRUE
chr1:26696895-26697216	0.72360248447205	NA	NA	ARID1A	TRUE
chr1:26697217-26697539	0.792569659442725	NA	NA	ARID1A	TRUE
