chromosome	start	end	gene	mean_log2	stdev_log2	n_samples	is_noisy
chr1	629966	630086	bb.chr1.629966	0.023824	0.453195	23	True
chr1	1785284	1785514	GNB1_exon_12	0.044772	0.055131	23	False
chr1	1785514	1785744	GNB1_exon_12	0.215080	0.077052	23	False
chr1	1785772	1786028	GNB1_exon_12	0.169692	0.039395	23	False
chr1	1786028	1786284	GNB1_exon_12	0.032757	0.059972	23	False
chr1	1786284	1786540	GNB1_exon_12	-0.033230	0.056001	23	False
chr1	1786540	1786796	GNB1_exon_12	-0.016918	0.076814	23	False
chr1	1786796	1787052	GNB1_exon_12	0.044313	0.104420	23	False
chr1	1787318	1787438	GNB1_exon_11	0.043253	0.127636	23	False
chr1	1789051	1789268	GNB1_exon_10	0.083984	0.075427	23	False
chr1	1790393	1790595	GNB1_exon_9	0.010691	0.060837	23	False
chr1	1793231	1793351	GNB1_exon_8	0.044097	0.117749	23	False
chr1	1804417	1804580	GNB1_exon_7	-0.062835	0.044101	23	False
chr1	1806442	1806562	GNB1_exon_6	-0.027208	0.076978	23	False
chr1	1815747	1815867	GNB1_exon_5	0.012861	0.080681	23	False
chr1	1817803	1817923	GNB1_exon_4	-0.030707	0.101303	23	False
chr1	1825388	1825508	GNB1_exon_3	0.035179	0.066594	23	False
chr1	1839159	1839279	GNB1_exon_2	0.015086	0.087525	23	False
chr1	1890818	1891086	GNB1_exon_1	-0.061655	0.358563	23	True
chr1	2396316	2396436	bb.chr1.2396316	-0.011625	0.089894	23	False
chr1	3082374	3082494	bb.chr1.3082374	-0.016173	0.156638	23	False
chr1	3775616	3775736	bb.chr1.3775616	-0.015643	0.118523	23	False
chr1	4303615	4303735	bb.chr1.4303615	0.019111	0.057993	23	False
chr1	5269983	5270103	bb.chr1.5269983	-0.001047	0.078363	23	False
chr1	6110304	6110424	bb.chr1.6110304	0.026350	0.120185	23	False
chr1	7868061	7868181	bb.chr1.7868061	-0.006620	0.071546	23	False
chr1	8949325	8949445	bb.chr1.8949325	0.008469	0.125023	23	False
chr1	10258931	10259051	bb.chr1.10258931	-0.041973	0.190900	23	False
chr1	10904053	10904173	bb.chr1.10904053	0.026770	0.115373	23	False
chr1	11712409	11712529	bb.chr1.11712409	0.028215	0.133825	23	False
chr1	12597991	12598111	bb.chr1.12597991	0.012455	0.078819	23	False
chr1	13460094	13460214	bb.chr1.13460094	-0.009480	0.106291	23	False
chr1	14303771	14303891	bb.chr1.14303771	0.114619	0.244335	23	False
chr1	15286922	15287042	bb.chr1.15286922	-0.009018	0.101642	23	False
chr1	16374238	16374358	bb.chr1.16374238	-0.047055	0.068390	23	False
chr1	17603425	17603545	bb.chr1.17603425	0.008746	0.127020	23	False
chr1	18325392	18325512	bb.chr1.18325392	-0.003763	0.112052	23	False
chr1	19004939	19005059	bb.chr1.19004939	-0.010168	0.086829	23	False
chr1	20305614	20305734	bb.chr1.20305614	-0.012665	0.089881	23	False
chr1	21345632	21345752	bb.chr1.21345632	-0.004220	0.166687	23	False
chr1	22325948	22326068	bb.chr1.22325948	-0.007923	0.070863	23	False
chr1	22983932	22984052	bb.chr1.22983932	-0.019263	0.106955	23	False
chr1	23646059	23646179	bb.chr1.23646059	-0.041919	0.073018	23	False
chr1	24308620	24308740	bb.chr1.24308620	0.023903	0.079050	23	False
chr1	24982708	24982828	bb.chr1.24982708	0.021493	0.096648	23	False
chr1	26168335	26168455	bb.chr1.26168335	0.000534	0.101793	23	False
chr1	26696025	26696236	ARID1A_exon_1	-0.014912	0.159722	23	False
chr1	26696249	26696507	ARID1A_exon_1	0.166414	0.191789	23	False
chr1	26696507	26696765	ARID1A_exon_1	-0.023245	0.200030	23	False
chr1	26696765	26697023	ARID1A_exon_1	-0.013209	0.156332	23	False
chr1	26697023	26697281	ARID1A_exon_1	0.000849	0.149811	23	False
chr1	26697281	26697539	ARID1A_exon_1	0.075089	0.131262	23	False
chr1	26729649	26729862	ARID1A_exon_2	0.024457	0.065703	23	False
chr1	26731150	26731376	ARID1A_exon_3	0.056814	0.086697	23	False
chr1	26731376	26731603	ARID1A_exon_3	0.051921	0.095072	23	False
chr1	26732672	26732792	ARID1A_exon_4	-0.023718	0.068354	23	False
chr1	26760854	26760974	ARID1A_exon_5	-0.070044	0.062669	23	False
chr1	26760975	26761095	ARID1A_exon_5	-0.044136	0.084947	23	False
chr1	26761353	26761473	ARID1A_exon_6	-0.020662	0.093050	23	False
chr1	26762150	26762318	ARID1A_exon_7	-0.058227	0.069021	23	False
chr1	26762971	26763284	ARID1A_exon_8	0.002631	0.055196	23	False
chr1	26766219	26766365	ARID1A_exon_9	0.044642	0.077898	23	False
chr1	26766450	26766570	ARID1A_exon_10	0.081270	0.061468	23	False
chr1	26767788	26767998	ARID1A_exon_11	0.040436	0.049153	23	False
chr1	26771117	26771325	ARID1A_exon_12	0.033099	0.049773	23	False
chr1	26772498	26772631	ARID1A_exon_13	-0.011721	0.089646	23	False
chr1	26772810	26772986	ARID1A_exon_14	-0.147807	0.065676	23	False
chr1	26773344	26773495	ARID1A_exon_15	0.047029	0.065421	23	False
chr1	26773578	26773716	ARID1A_exon_16	0.024211	0.060663	23	False
chr1	26773783	26773903	ARID1A_exon_17	0.040282	0.070840	23	False
chr1	26774327	26774624	ARID1A_exon_18	0.035418	0.095967	23	False
chr1	26774624	26774921	ARID1A_exon_18	0.067146	0.105196	23	False
chr1	26774921	26775219	ARID1A_exon_18	-0.008498	0.081851	23	False
chr1	26775580	26775700	ARID1A_exon_19	0.074105	0.124496	23	False
chr1	26779021	26779278	ARID1A_exon_20	0.084343	0.099164	23	False
