chromosome	start	end	gene	mean_log2	stdev_log2	n_samples	is_noisy
chr1	629966	630086	bb.chr1.629966	-0.097171	0.340516	8	True
chr1	1785284	1785514	GNB1_exon_12	0.013886	0.051975	8	False
chr1	1785514	1785744	GNB1_exon_12	0.096671	0.035417	8	False
chr1	1785772	1786028	GNB1_exon_12	0.089600	0.052686	8	False
chr1	1786028	1786284	GNB1_exon_12	-0.002167	0.054899	8	False
chr1	1786284	1786540	GNB1_exon_12	0.021664	0.038309	8	False
chr1	1786540	1786796	GNB1_exon_12	0.016900	0.039599	8	False
chr1	1786796	1787052	GNB1_exon_12	-0.030258	0.051693	8	False
chr1	1787318	1787438	GNB1_exon_11	0.006935	0.113487	8	False
chr1	1789051	1789268	GNB1_exon_10	0.047028	0.086332	8	False
chr1	1790393	1790595	GNB1_exon_9	-0.006796	0.066738	8	False
chr1	1793231	1793351	GNB1_exon_8	0.017648	0.085646	8	False
chr1	1804417	1804580	GNB1_exon_7	-0.030036	0.088321	8	False
chr1	1806442	1806562	GNB1_exon_6	0.018225	0.102765	8	False
chr1	1815747	1815867	GNB1_exon_5	0.016160	0.066934	8	False
chr1	1817803	1817923	GNB1_exon_4	-0.008946	0.087722	8	False
chr1	1825388	1825508	GNB1_exon_3	0.061578	0.071916	8	False
chr1	1839159	1839279	GNB1_exon_2	-0.008855	0.061057	8	False
chr1	1890818	1891086	GNB1_exon_1	-0.134564	0.233991	8	False
chr1	2396316	2396436	bb.chr1.2396316	-0.027259	0.133299	8	False
chr1	3082374	3082494	bb.chr1.3082374	-0.014097	0.123150	8	False
chr1	3775616	3775736	bb.chr1.3775616	0.049253	0.100109	8	False
chr1	4303615	4303735	bb.chr1.4303615	0.016972	0.095731	8	False
chr1	5269983	5270103	bb.chr1.5269983	0.036507	0.058186	8	False
chr1	6110304	6110424	bb.chr1.6110304	0.001075	0.056089	8	False
chr1	7868061	7868181	bb.chr1.7868061	-0.000554	0.067235	8	False
chr1	8949325	8949445	bb.chr1.8949325	0.009704	0.130587	8	False
chr1	10258931	10259051	bb.chr1.10258931	0.051489	0.107310	8	False
chr1	10904053	10904173	bb.chr1.10904053	0.040727	0.101598	8	False
chr1	11712409	11712529	bb.chr1.11712409	0.003006	0.040269	8	False
chr1	12597991	12598111	bb.chr1.12597991	0.033823	0.050788	8	False
chr1	13460094	13460214	bb.chr1.13460094	-0.031473	0.065474	8	False
chr1	14303771	14303891	bb.chr1.14303771	0.051794	0.198776	8	False
chr1	15286922	15287042	bb.chr1.15286922	0.024001	0.089125	8	False
chr1	16374238	16374358	bb.chr1.16374238	-0.003412	0.032893	8	False
chr1	17603425	17603545	bb.chr1.17603425	0.026048	0.102577	8	False
chr1	18325392	18325512	bb.chr1.18325392	-0.019857	0.084804	8	False
chr1	19004939	19005059	bb.chr1.19004939	-0.018825	0.061371	8	False
chr1	20305614	20305734	bb.chr1.20305614	-0.001219	0.069326	8	False
chr1	21345632	21345752	bb.chr1.21345632	-0.009583	0.153750	8	False
chr1	22325948	22326068	bb.chr1.22325948	0.029174	0.063260	8	False
chr1	22983932	22984052	bb.chr1.22983932	0.053478	0.050685	8	False
chr1	23646059	23646179	bb.chr1.23646059	0.000169	0.048217	8	False
chr1	24308620	24308740	bb.chr1.24308620	-0.052107	0.069230	8	False
chr1	24982708	24982828	bb.chr1.24982708	0.024792	0.077869	8	False
chr1	26168335	26168455	bb.chr1.26168335	-0.033838	0.079007	8	False
chr1	26696025	26696236	ARID1A_exon_1	0.009406	0.102200	8	False
chr1	26696249	26696507	ARID1A_exon_1	0.006485	0.205820	8	False
chr1	26696507	26696765	ARID1A_exon_1	-0.065117	0.215753	8	False
chr1	26696765	26697023	ARID1A_exon_1	-0.038841	0.174317	8	False
chr1	26697023	26697281	ARID1A_exon_1	-0.010858	0.156951	8	False
chr1	26697281	26697539	ARID1A_exon_1	-0.041359	0.116778	8	False
chr1	26729649	26729862	ARID1A_exon_2	0.030068	0.062836	8	False
chr1	26731150	26731376	ARID1A_exon_3	0.041436	0.063899	8	False
chr1	26731376	26731603	ARID1A_exon_3	0.028369	0.067393	8	False
chr1	26732672	26732792	ARID1A_exon_4	-0.002101	0.071175	8	False
chr1	26760854	26760974	ARID1A_exon_5	-0.026372	0.058046	8	False
chr1	26760975	26761095	ARID1A_exon_5	-0.004620	0.053626	8	False
chr1	26761353	26761473	ARID1A_exon_6	0.004906	0.047025	8	False
chr1	26762150	26762318	ARID1A_exon_7	-0.083497	0.100717	8	False
chr1	26762971	26763284	ARID1A_exon_8	0.026366	0.040250	8	False
chr1	26766219	26766365	ARID1A_exon_9	0.044359	0.044818	8	False
chr1	26766450	26766570	ARID1A_exon_10	0.032486	0.079513	8	False
chr1	26767788	26767998	ARID1A_exon_11	0.019737	0.058627	8	False
chr1	26771117	26771325	ARID1A_exon_12	0.019364	0.049243	8	False
chr1	26772498	26772631	ARID1A_exon_13	-0.020600	0.069522	8	False
chr1	26772810	26772986	ARID1A_exon_14	-0.085928	0.076360	8	False
chr1	26773344	26773495	ARID1A_exon_15	-0.014816	0.083021	8	False
chr1	26773578	26773716	ARID1A_exon_16	0.038671	0.048434	8	False
chr1	26773783	26773903	ARID1A_exon_17	-0.014937	0.051000	8	False
chr1	26774327	26774624	ARID1A_exon_18	0.036310	0.079126	8	False
chr1	26774624	26774921	ARID1A_exon_18	0.000253	0.085113	8	False
chr1	26774921	26775219	ARID1A_exon_18	0.015515	0.069692	8	False
chr1	26775580	26775700	ARID1A_exon_19	0.000946	0.034766	8	False
chr1	26779021	26779278	ARID1A_exon_20	-0.033568	0.068863	8	False
chr1	26779278	26779535	ARID1A_exon_20	0.015238	0.040397	8	False
chr1	26779535	26779793	ARID1A_exon_20	0.001834	0.035637	8	False
chr1	26779793	26780050	ARID1A_exon_20	0.013372	0.047532	8	False
chr1	26780050	26780307	ARID1A_exon_20	0.043626	0.054184	8	False
chr1	26780307	26780565	ARID1A_exon_20	-0.022785	0.075074	8	False
chr1	26780565	26780822	ARID1A_exon_20	0.025880	0.080118	8	False
chr1	26780822	26781079	ARID1A_exon_20	-0.005865	0.074945	8	False
chr1	26781079	26781337	ARID1A_exon_20	-0.042197	0.043656	8	False
chr1	26781337	26781594	ARID1A_exon_20	0.006180	0.025004	8	False
chr1	26781594	26781852	ARID1A_exon_20	0.069422	0.038552	8	False
chr1	26781872	26782103	ARID1A_exon_20	0.001380	0.088753	8	False
chr1	27885079	27885199	bb.chr1.27885079	-0.018578	0.035955	8	False
chr1	29118942	29119062	bb.chr1.29118942	0.005075	0.084131	8	False
chr1	29811183	29811303	bb.chr1.29811183	0.026097	0.098577	8	False
chr1	30515623	30515743	bb.chr1.30515623	-0.023387	0.150080	8	False
chr1	31236307	31236427	bb.chr1.31236307	0.013572	0.061167	8	False
chr1	31848639	31848759	bb.chr1.31848639	-0.003979	0.091872	8	False
chr1	32733706	32733826	bb.chr1.32733706	0.009257	0.050002	8	False
chr1	33848750	33848870	bb.chr1.33848750	-0.017488	0.056726	8	False
chr1	34523293	34523413	bb.chr1.34523293	-0.014587	0.045015	8	False
chr1	36150676	36150796	bb.chr1.36150676	0.000050	0.066265	8	False
chr1	36466041	36466302	CSF3R_exon_17	-0.082299	0.098610	8	False
chr1	36466302	36466564	CSF3R_exon_17	0.034665	0.081818	8	False
chr1	36466564	36466826	CSF3R_exon_17	-0.036656	0.062976	8	False
chr1	36467200	36467320	CSF3R_exon_16	-0.004759	0.069491	8	False
chr1	36467531	36467651	CSF3R_exon_15	-0.019629	0.082534	8	False
chr1	36467820	36467961	CSF3R_exon_14	0.020598	0.073733	8	False
chr1	36468073	36468220	CSF3R_exon_13	0.019192	0.067219	8	False
chr1	36469145	36469265	CSF3R_exon_12	0.004979	0.052117	8	False
chr1	36469650	36469839	CSF3R_exon_11	-0.114462	0.040538	8	False
chr1	36471431	36471645	CSF3R_exon_10	0.015813	0.063269	8	False
chr1	36472040	36472160	CSF3R_exon_9	0.030497	0.095635	8	False
chr1	36472236	36472390	CSF3R_exon_8	-0.018607	0.079978	8	False
chr1	36472515	36472685	CSF3R_exon_7	0.018920	0.095799	8	False
chr1	36473433	36473621	CSF3R_exon_6	0.055736	0.053204	8	False
chr1	36473764	36473884	CSF3R_exon_5	-0.060690	0.043755	8	False
chr1	36475375	36475672	CSF3R_exon_4	0.006229	0.057909	8	False
chr1	36479424	36479544	CSF3R_exon_3	-0.022787	0.079608	8	False
chr1	36481417	36481537	CSF3R_exon_2	-0.025072	0.061841	8	False
chr1	36482802	36482922	CSF3R_exon_1	0.019353	0.050720	8	False
chr1	37047842	37047962	bb.chr1.37047842	-0.022264	0.358795	8	True
chr1	37762525	37762645	bb.chr1.37762525	-0.020700	0.081795	8	False
chr1	38495305	38495425	bb.chr1.38495305	-0.005758	0.066501	8	False
chr1	39453502	39453622	bb.chr1.39453502	0.003657	0.073237	8	False
chr1	40075417	40075537	bb.chr1.40075417	0.005116	0.190035	8	False
chr1	40987721	40987841	bb.chr1.40987721	0.031684	0.088000	8	False
chr1	41865448	41865568	bb.chr1.41865448	-0.002566	0.080496	8	False
chr1	42843652	42843772	bb.chr1.42843652	0.064437	0.064812	8	False
chr1	43337811	43337931	MPL_exon_1	-0.000414	0.079005	8	False
chr1	43338097	43338230	MPL_exon_2	-0.038024	0.082108	8	False
chr1	43338540	43338719	MPL_exon_3	-0.072643	0.056419	8	False
chr1	43339269	43339568	MPL_exon_4	0.009722	0.066706	8	False
chr1	43339962	43340125	MPL_exon_5	-0.044793	0.036831	8	False
chr1	43340388	43340508	MPL_exon_6	0.002533	0.071807	8	False
chr1	43346443	43346628	MPL_exon_7	0.011775	0.025258	8	False
chr1	43346790	43346933	MPL_exon_8	-0.084347	0.086903	8	False
chr1	43348841	43349001	MPL_exon_9	-0.040034	0.141960	8	False
chr1	43349242	43349362	MPL_exon_10	0.047163	0.068566	8	False
chr1	43352195	43352315	MPL_exon_11	0.001836	0.090992	8	False
chr1	43352516	43352780	MPL_exon_12	-0.015275	0.025168	8	False
chr1	43352780	43353044	MPL_exon_12	-0.013218	0.072033	8	False
chr1	43353044	43353308	MPL_exon_12	-0.049797	0.051612	8	False
chr1	43353893	43354179	MPL_exon_12	0.066350	0.054975	8	False
chr1	43354179	43354465	MPL_exon_12	0.067958	0.041222	8	False
chr1	43787284	43787404	bb.chr1.43787284	0.020813	0.076756	8	False
chr1	44540268	44540388	bb.chr1.44540268	-0.012705	0.075503	8	False
chr1	45508196	45508316	bb.chr1.45508196	-0.004506	0.047824	8	False
chr1	46163921	46164041	bb.chr1.46163921	0.026414	0.065791	8	False
chr1	47180263	47180383	bb.chr1.47180263	0.022935	0.075141	8	False
chr1	47852957	47853077	bb.chr1.47852957	-0.052403	0.236874	8	False
chr1	48531147	48531267	bb.chr1.48531147	0.013481	0.088106	8	False
