Chromosome	Start	End	Clinical.Exon
chr1	1785284	1787052	exon_12
chr1	1787318	1787438	exon_11
chr1	1789051	1789268	exon_10
chr1	1790393	1790595	exon_9
chr1	1793231	1793351	exon_8
chr1	1804417	1804580	exon_7
chr1	1806442	1806562	exon_6
chr1	1815747	1815867	exon_5
chr1	1817803	1817923	exon_4
chr1	1825388	1825508	exon_3
chr1	1839159	1839279	exon_2
chr1	1890818	1891086	exon_1
chr1	26696025	26697539	exon_1
chr1	26729649	26729862	exon_2
chr1	26731150	26731603	exon_3
chr1	26732672	26732792	exon_4
chr1	26760854	26761095	exon_5
chr1	26761353	26761473	exon_6
chr1	26762150	26762318	exon_7
chr1	26762971	26763284	exon_8
chr1	26766219	26766365	exon_9
chr1	26766450	26766570	exon_10
chr1	26767788	26767998	exon_11
chr1	26771117	26771325	exon_12
chr1	26772498	26772631	exon_13
chr1	26772810	26772986	exon_14
chr1	26773344	26773495	exon_15
chr1	26773578	26773716	exon_16
chr1	26773783	26773903	exon_17
chr1	26774327	26775219	exon_18
chr1	26775580	26775700	exon_19
chr1	26779021	26782103	exon_20
chr1	36466041	36466826	exon_17
chr1	36467200	36467320	exon_16
chr1	36467531	36467651	exon_15
chr1	36467820	36467961	exon_14
chr1	36468073	36468220	exon_13
chr1	36469145	36469265	exon_12
chr1	36469650	36469839	exon_11
chr1	36471431	36471645	exon_10
chr1	36472040	36472160	exon_9
chr1	36472236	36472390	exon_8
chr1	36472515	36472685	exon_7
chr1	36473433	36473621	exon_6
chr1	36473764	36473884	exon_5
chr1	36475375	36475672	exon_4
chr1	36479424	36479544	exon_3
chr1	36481417	36481537	exon_2
chr1	36482802	36482922	exon_1
chr1	43337811	43337931	exon_1
chr1	43338097	43338230	exon_2
chr1	43338540	43338719	exon_3
chr1	43339269	43339568	exon_4
chr1	43339962	43340125	exon_5
chr1	43340388	43340508	exon_6
chr1	43346443	43346628	exon_7
chr1	43346790	43346933	exon_8
chr1	43348841	43349001	exon_9
chr1	43349242	43349362	exon_10
chr1	43352195	43352315	exon_11
chr1	43352516	43354465	exon_12
chr1	92473041	92476206	exon_7
chr1	92478586	92478752	exon_6
chr1	92480346	92480484	exon_5
chr1	92480599	92481087	exon_4
chr1	92482862	92483045	exon_3
chr1	92483371	92483585	exon_2
chr1	92486724	92486924	exon_1
chr1	114704467	114708049	exon_7
chr1	114708152	114708272	exon_6
chr1	114708531	114708651	exon_5
chr1	114709567	114709727	exon_4
chr1	114713798	114713977	exon_3
chr1	114716052	114716172	exon_2
chr1	114716653	114716773	exon_1
chr1	155897806	155900617	exon_6
chr1	155904309	155904501	exon_5
chr1	155904728	155904848	exon_4
chr1	155910432	155910552	exon_3
chr1	155910654	155910803	exon_2
chr1	155911234	155911354	exon_1
chr1	190097656	190099133	exon_8
chr1	190160666	190160889	exon_7
chr1	190226080	190226317	exon_6
chr1	190234363	190234483	exon_5
chr1	190264863	190265054	exon_4
chr1	190281558	190281749	exon_3
chr1	190454653	190454939	exon_2
chr1	190477446	190477863	exon_1
chr1	202331655	202331959	exon_7
chr1	202332986	202333106	exon_6
chr1	202333217	202333337	exon_5
chr1	202333441	202333561	exon_4
chr1	202334948	202335068	exon_3
chr1	202335644	202335817	exon_2
chr1	202341827	202341947	exon_1
chr1	231363754	231366474	exon_5
chr1	231367517	231367637	exon_4
chr1	231370560	231370697	exon_3
chr1	231373978	231374098	exon_2
chr1	231420996	231422286	exon_1
chr2	15940548	15940742	exon_1
chr2	15941946	15942853	exon_2
chr2	15945491	15947003	exon_3
chr2	25227872	25234419	exon_23
chr2	25235704	25235824	exon_22
chr2	25236928	25237048	exon_21
chr2	25239119	25239239	exon_20
chr2	25240300	25240449	exon_19
chr2	25240623	25240743	exon_18
chr2	25241560	25241706	exon_17
chr2	25243892	25244012	exon_16
chr2	25244153	25244337	exon_15
chr2	25244534	25244654	exon_14
chr2	25245228	25245348	exon_13
chr2	25245944	25246064	exon_12
chr2	25246158	25246308	exon_11
chr2	25246618	25246775	exon_10
chr2	25247043	25247163	exon_9
chr2	25247589	25247748	exon_8
chr2	25248035	25248251	exon_7
chr2	25274939	25275086	exon_6
chr2	25275454	25275574	exon_5
chr2	25282439	25282710	exon_4
chr2	25300129	25300249	exon_3
chr2	25313911	25314160	exon_2
chr2	25341805	25341925	exon_1
chr2	25733751	25744475	exon_13
chr2	25749694	25750412	exon_12
chr2	25753525	25753645	exon_11
chr2	25756005	25756125	exon_10
chr2	25759480	25759644	exon_9
chr2	25767581	25767725	exon_8
chr2	25768743	25768863	exon_7
chr2	25771434	25771554	exon_6
chr2	25799383	25799534	exon_5
chr2	25806221	25806341	exon_4
chr2	25835531	25835651	exon_3
chr2	25845457	25845577	exon_2
chr2	25878164	25878486	exon_1
chr2	46297405	46297936	exon_1
chr2	46346871	46347062	exon_2
chr2	46356149	46356301	exon_3
chr2	46356722	46356842	exon_4
chr2	46360635	46360755	exon_5
chr2	46360883	46361089	exon_6
chr2	46369818	46369938	exon_7
chr2	46375688	46375836	exon_8
chr2	46376537	46376752	exon_9
chr2	46377892	46378086	exon_10
chr2	46378650	46378770	exon_11
chr2	46380225	46380716	exon_12
chr2	46381597	46381717	exon_13
chr2	46381970	46382090	exon_14
chr2	46382423	46382597	exon_15
chr2	46384507	46386696	exon_16
chr2	197389782	197392460	exon_25
chr2	197392970	197393187	exon_24
chr2	197396054	197396327	exon_23
chr2	197397983	197398115	exon_22
chr2	197398459	197398579	exon_21
chr2	197400049	197400169	exon_20
